#{"t_start": 1749313503.6084454, "env_id": "None"}
r,l,t
100.0,31,328.438763
100.0,47,329.509077
100.0,28,330.211856
100.0,46,331.338556
0.0,75,333.017097
0.0,75,334.679764
100.0,10,334.9053
0.0,75,336.591844
0.0,75,340.698123
0.0,75,342.419633
0.0,75,344.082849
0.0,75,345.750152
100.0,42,346.750999
0.0,75,348.530067
0.0,75,350.194913
-100.0,11,350.470863
100.0,32,351.254467
0.0,75,353.018138
100.0,27,353.645562
-100.0,1,353.679212
100.0,28,354.330026
100.0,4,354.425968
100.0,8,354.618677
-100.0,11,354.872291
0.0,75,356.604418
0.0,75,358.282753
0.0,75,359.97626
-100.0,1,360.011805
0.0,75,361.799047
0.0,75,363.471841
100.0,10,363.692106
0.0,75,365.335501
100.0,62,366.706054
0.0,75,368.473607
100.0,17,368.878533
100.0,3,368.952169
100.0,43,369.898979
0.0,75,371.531313
100.0,3,371.614725
100.0,61,373.132654
100.0,72,374.770366
100.0,48,375.844442
100.0,55,377.128557
100.0,27,377.722103
100.0,19,378.157727
-100.0,75,379.79744
100.0,18,380.200155
0.0,75,381.850312
0.0,75,383.570655
0.0,75,385.258316
100.0,14,385.571922
100.0,71,389.73105
100.0,10,389.960479
100.0,3,390.032003
100.0,71,391.574956
0.0,75,393.22112
-100.0,37,394.022367
0.0,75,395.665239
100.0,21,396.124917
100.0,12,396.404338
0.0,75,398.100355
100.0,30,398.770135
100.0,21,399.232995
100.0,33,399.954027
0.0,75,401.585746
100.0,67,403.063012
100.0,24,403.590861
100.0,16,403.945169
100.0,25,404.49026
100.0,23,404.994813
0.0,75,406.634678
100.0,62,408.096881
100.0,45,409.195788
100.0,17,409.596464
100.0,42,410.668037
100.0,42,411.705548
100.0,18,412.150466
100.0,70,413.869623
100.0,33,414.650376
100.0,47,415.816622
0.0,75,417.575189
100.0,28,418.233107
0.0,75,420.095797
100.0,63,421.583194
100.0,33,422.411039
100.0,16,422.810759
0.0,75,424.515048
100.0,48,425.611623
0.0,75,427.256394
100.0,21,427.705624
0.0,75,429.267071
0.0,75,430.977634
100.0,41,431.898154
100.0,53,433.127776
0.0,75,434.781082
0.0,75,438.951059
0.0,75,440.565878
100.0,64,441.951041
-100.0,1,441.983498
100.0,37,442.813813
100.0,63,444.213583
100.0,3,444.285186
100.0,25,444.836876
100.0,69,446.340011
100.0,58,447.628326
-100.0,8,447.81126
100.0,46,448.779955
100.0,16,449.130225
100.0,63,450.463276
100.0,29,451.078776
100.0,30,451.72002
0.0,75,453.377325
100.0,49,454.454254
100.0,25,454.985447
100.0,9,455.194296
0.0,75,456.807999
100.0,48,457.848174
0.0,75,459.452312
0.0,75,461.062023
-100.0,30,461.722867
0.0,75,463.359112
100.0,2,463.407526
100.0,1,463.439078
100.0,31,464.110166
0.0,75,465.678388
100.0,36,466.459449
100.0,58,467.802909
100.0,61,469.178531
100.0,11,469.413517
0.0,75,471.067544
0.0,75,478.245
100.0,61,479.939306
100.0,45,481.129849
0.0,75,482.871153
100.0,17,483.267317
100.0,25,483.814703
100.0,72,485.363245
100.0,71,486.883539
100.0,29,487.506454
100.0,38,488.297855
0.0,75,492.101899
100.0,30,492.740002
0.0,75,494.399916
100.0,50,495.482343
-100.0,6,495.619011
100.0,19,496.049852
0.0,75,497.698663
100.0,13,497.981491
-100.0,20,498.445549
100.0,33,499.20173
-100.0,13,499.521835
100.0,29,500.213511
100.0,57,501.640107
100.0,64,503.243341
100.0,64,504.744836
100.0,21,505.223376
0.0,75,506.865012
100.0,7,507.030554
100.0,24,507.564739
-100.0,1,507.594633
100.0,33,508.32001
-100.0,56,509.610267
100.0,50,510.729313
100.0,19,511.191967
0.0,75,513.011774
100.0,23,513.58049
100.0,69,515.174451
100.0,36,516.003386
-100.0,18,516.486027
-100.0,14,516.811677
100.0,55,518.094764
100.0,1,518.126312
100.0,31,518.840194
100.0,40,519.781475
100.0,14,520.11915
100.0,11,520.408723
100.0,31,521.197833
100.0,32,521.994286
-100.0,49,523.271417
100.0,4,523.389724
100.0,1,523.427537
100.0,42,524.482486
100.0,43,525.488852
100.0,1,525.519403
100.0,40,526.471522
100.0,21,526.97276
100.0,48,528.148078
100.0,27,528.827957
100.0,72,530.494085
100.0,48,531.594586
100.0,11,531.860232
100.0,25,532.441316
100.0,52,533.606685
100.0,18,534.005491
100.0,67,535.459146
-100.0,42,536.379419
100.0,75,538.061297
0.0,75,541.910949
100.0,19,542.326547
100.0,3,542.395519
100.0,18,542.787527
100.0,56,544.023718
-100.0,43,544.988315
100.0,7,545.147529
100.0,36,545.929418
100.0,22,546.438164
100.0,27,547.016427
100.0,30,547.751084
100.0,24,548.303915
0.0,75,549.992141
100.0,40,550.848281
0.0,75,552.564135
100.0,16,552.938097
100.0,9,553.165916
100.0,3,553.245596
100.0,28,553.873805
100.0,43,554.829273
100.0,37,555.642763
0.0,75,557.383115
100.0,49,558.517488
0.0,75,560.258395
-100.0,26,560.860648
100.0,69,562.415032
0.0,75,564.09773
100.0,50,565.23938
100.0,57,566.575066
0.0,75,568.3511
100.0,25,568.895208
100.0,28,569.536028
100.0,56,570.780484
100.0,50,571.994686
100.0,41,573.019687
100.0,31,573.792556
100.0,21,574.349679
100.0,9,574.579058
100.0,21,575.116567
100.0,10,575.364593
100.0,16,575.733785
100.0,11,575.98889
100.0,16,576.36749
100.0,41,577.340767
100.0,2,577.399411
100.0,26,577.997741
100.0,60,579.389019
0.0,75,581.118463
100.0,26,581.731666
100.0,10,581.967474
0.0,75,583.692323
100.0,39,584.58775
0.0,75,586.291375
100.0,32,587.017473
100.0,42,590.609238
100.0,13,590.925345
100.0,66,592.502815
-100.0,36,593.435164
100.0,5,593.568896
100.0,49,594.744312
100.0,18,595.156889
-100.0,53,596.42698
100.0,36,597.326469
100.0,46,598.464324
100.0,41,599.463465
100.0,36,600.342428
100.0,15,600.700607
100.0,68,602.360044
100.0,62,603.902987
100.0,58,605.212453
100.0,48,606.26335
100.0,4,606.358934
100.0,26,606.994944
100.0,25,607.564132
100.0,17,607.980262
100.0,7,608.150318
100.0,22,608.631045
100.0,42,609.580295
0.0,75,611.240339
100.0,2,611.295483
-100.0,36,612.106609
100.0,1,612.135655
100.0,40,613.028175
100.0,24,613.568861
100.0,41,614.503844
100.0,29,615.226521
100.0,21,615.72098
0.0,75,617.414215
100.0,8,617.610256
100.0,5,617.726803
100.0,9,617.935174
0.0,75,619.627102
100.0,12,619.927579
-100.0,16,620.290186
100.0,41,621.27074
100.0,23,621.805052
100.0,24,622.363281
100.0,9,622.572477
100.0,35,623.386358
100.0,12,623.651648
100.0,16,624.042981
100.0,70,625.698257
100.0,5,625.830984
100.0,47,626.937746
100.0,30,627.627478
100.0,28,628.215892
100.0,54,629.421843
0.0,75,631.061883
100.0,40,631.948299
100.0,28,632.571749
100.0,7,632.734739
100.0,35,633.538067
0.0,75,635.191498
100.0,55,636.412698
100.0,25,636.965336
100.0,23,637.472987
100.0,19,640.157864
-100.0,22,640.649887
100.0,49,641.713628
100.0,42,642.643847
100.0,17,643.021677
100.0,28,643.634299
100.0,46,644.625761
100.0,16,644.966896
100.0,12,645.234859
100.0,35,645.98387
100.0,20,646.423975
100.0,28,647.040236
100.0,24,647.566022
0.0,75,649.159824
0.0,75,650.770396
-100.0,12,651.066975
100.0,17,651.490205
100.0,12,651.766182
100.0,6,651.912498
100.0,63,653.378137
100.0,25,653.938664
100.0,54,655.186338
100.0,21,655.704718
100.0,21,656.197256
100.0,12,656.490725
100.0,27,657.140608
-100.0,7,657.320072
100.0,26,657.885568
100.0,3,657.962723
100.0,17,658.352335
100.0,67,659.856304
100.0,52,660.969297
100.0,23,661.479874
100.0,18,661.85157
100.0,16,662.199265
100.0,10,662.413576
100.0,46,663.456334
100.0,66,664.855561
100.0,29,665.496142
100.0,18,665.88321
100.0,52,666.998149
100.0,14,667.293059
100.0,38,668.131533
100.0,32,668.789429
100.0,17,669.215139
100.0,34,669.981715
-100.0,14,670.311395
100.0,25,670.884923
100.0,19,671.305622
100.0,16,671.657154
100.0,27,672.243527
100.0,27,672.832593
100.0,23,673.405851
100.0,22,673.894396
100.0,48,675.041287
100.0,48,676.148411
100.0,46,677.193684
0.0,75,678.905498
-100.0,28,679.525738
100.0,25,680.070257
100.0,19,680.549206
100.0,10,680.778194
100.0,35,681.635758
100.0,29,682.307029
100.0,5,682.420522
100.0,64,683.80437
100.0,30,684.45104
100.0,43,685.38015
100.0,8,685.561996
0.0,75,689.305656
100.0,20,689.762248
100.0,11,690.001079
100.0,22,690.480277
100.0,38,691.305601
100.0,72,692.886865
100.0,41,693.773051
100.0,37,694.570956
100.0,38,695.386252
100.0,27,695.967998
100.0,23,696.495132
100.0,11,696.733973
100.0,26,697.389823
100.0,42,698.403091
100.0,27,699.020457
100.0,58,700.385929
100.0,57,701.783062
100.0,59,703.175814
100.0,41,704.113088
100.0,58,705.463583
100.0,29,706.154068
0.0,75,707.888501
100.0,49,708.976837
100.0,56,710.191525
100.0,29,710.888784
100.0,71,712.564163
0.0,75,714.347743
100.0,46,715.501754
100.0,24,716.063649
-100.0,55,717.375048
100.0,39,718.237777
100.0,73,723.26065
100.0,13,723.601868
100.0,11,723.86547
100.0,46,724.932345
100.0,34,725.726957
100.0,23,726.293902
100.0,13,726.605791
100.0,9,726.839813
100.0,64,728.359508
100.0,32,729.06136
100.0,20,729.563489
100.0,21,730.041332
100.0,40,730.916802
100.0,45,731.951779
100.0,46,732.962252
100.0,18,733.383351
100.0,40,734.271387
100.0,36,735.067254
100.0,16,735.419721
100.0,23,735.921586
100.0,21,736.373252
100.0,11,736.614427
100.0,24,737.146593
100.0,36,737.963218
100.0,54,741.469347
100.0,53,742.771683
100.0,14,743.125015
-100.0,6,743.28233
100.0,28,743.977293
-100.0,20,744.43662
100.0,23,744.963407
100.0,37,745.793008
100.0,16,746.149562
100.0,27,746.768203
100.0,35,747.563159
100.0,14,747.890037
0.0,75,749.572892
100.0,17,749.948004
100.0,20,750.395924
100.0,33,751.112139
100.0,45,752.139271
100.0,23,752.649859
100.0,10,752.873765
100.0,27,753.488273
100.0,32,754.196992
100.0,24,754.724044
100.0,2,754.778939
100.0,18,755.179569
100.0,7,755.340115
100.0,47,756.353039
100.0,27,756.946211
-100.0,8,757.134742
100.0,30,757.806749
100.0,26,758.448275
100.0,21,758.94794
-100.0,32,759.72526
100.0,24,760.29064
-100.0,23,760.809978
100.0,11,761.053647
100.0,34,761.849659
100.0,43,762.859473
100.0,43,763.905339
100.0,6,764.058678
-100.0,1,764.094248
100.0,24,764.623165
100.0,28,765.261722
100.0,25,765.898954
100.0,24,766.451106
100.0,50,767.660081
100.0,41,768.623963
100.0,16,769.037959
100.0,36,769.91667
100.0,43,770.91913
100.0,40,771.796914
100.0,26,772.381746
-100.0,16,772.75005
100.0,20,773.223215
100.0,24,773.777942
100.0,31,774.482646
100.0,18,774.894726
100.0,26,775.491991
100.0,24,776.029095
100.0,31,776.730362
100.0,27,777.336467
100.0,18,777.744564
100.0,12,778.005364
100.0,60,779.379536
100.0,37,780.219163
100.0,20,780.682903
100.0,62,782.090912
100.0,31,782.789173
100.0,30,783.46613
100.0,33,784.204322
100.0,19,784.645238
100.0,61,785.985744
100.0,35,786.755762
100.0,8,786.930453
100.0,25,787.47255
100.0,25,790.446202
100.0,40,791.401754
100.0,26,792.013399
100.0,26,792.587636
100.0,20,793.03933
100.0,51,794.149062
100.0,38,795.00867
100.0,6,795.178312
100.0,4,795.293673
100.0,29,795.975391
100.0,9,796.198804
100.0,17,796.621377
100.0,25,797.178022
100.0,23,797.725534
100.0,12,797.99168
100.0,39,798.886517
100.0,45,799.912794
100.0,43,800.964983
100.0,53,802.266559
100.0,10,802.497805
100.0,34,803.272629
100.0,14,803.588225
100.0,13,803.914599
100.0,25,804.48097
100.0,29,805.120813
100.0,11,805.374479
100.0,15,805.694257
-100.0,27,806.310529
100.0,9,806.514526
100.0,7,806.674808
100.0,30,807.378779
100.0,38,808.215292
100.0,40,809.113116
100.0,34,809.871747
100.0,32,810.589582
100.0,12,810.892171
100.0,4,811.007427
100.0,28,811.697241
100.0,22,812.214842
100.0,23,812.764329
100.0,40,813.677009
100.0,10,813.922098
100.0,5,814.055623
100.0,27,814.719149
100.0,28,815.396318
100.0,14,815.713042
100.0,28,816.380917
100.0,5,816.496366
100.0,19,816.903775
100.0,30,817.555012
100.0,12,817.827096
100.0,37,818.647383
100.0,36,819.449409
-100.0,2,819.499523
100.0,18,819.894052
100.0,10,820.116133
