#{"t_start": 1748975210.0677748, "env_id": "None"}
r,l,t,mean_dt,std_dt
0.0,2000,164.182439,0.05000000819563866,7.450580596923828e-09
0.0,2000,187.972715,0.05000000819563866,7.450580596923828e-09
0.0,2000,211.664658,0.05000000819563866,7.450580596923828e-09
0.0,2000,235.748859,0.05000000819563866,7.450580596923828e-09
0.0,2000,259.542306,0.05000000819563866,7.450580596923828e-09
0.0,2000,417.491757,0.05000000819563866,7.450580596923828e-09
0.0,2000,441.182013,0.05000000819563866,7.450580596923828e-09
0.0,2000,464.98098,0.05000549927353859,0.00011791950964834541
0.0,1997,488.829285,0.05007488280534744,0.0006324381683953106
0.0,2000,512.679072,0.05000000819563866,7.450580596923828e-09
0.0,2000,670.639154,0.05000000819563866,7.450580596923828e-09
0.0,2000,694.163924,0.05000000819563866,7.450580596923828e-09
0.0,2000,717.91605,0.05000000819563866,7.450580596923828e-09
100.0,800,727.437046,0.06422987580299377,0.010492941364645958
0.0,1693,747.600214,0.05909518897533417,0.018454471603035927
100.0,1393,898.471422,0.05836495757102966,0.026255367323756218
0.0,2000,922.380235,0.05000000819563866,7.450580596923828e-09
0.0,1990,945.851069,0.050272341817617416,0.0014037804212421179
0.0,2000,969.625027,0.05000000819563866,7.450580596923828e-09
100.0,206,972.074045,0.1456201672554016,0.02299530990421772
0.0,1987,1130.560142,0.05034451186656952,0.0023576992098242044
0.0,2000,1154.266312,0.05000000819563866,7.450580596923828e-09
0.0,1081,1167.038205,0.09258531779050827,0.013108507730066776
0.0,1932,1190.151659,0.05176464468240738,0.009311401285231113
0.0,2000,1214.0019,0.05000000819563866,7.450580596923828e-09
100.0,286,1352.192439,0.07016386836767197,0.034226369112730026
0.0,632,1359.921106,0.15849968791007996,0.020089898258447647
0.0,1946,1383.310454,0.05139441788196564,0.005424631293863058
0.0,1999,1406.964336,0.05002613365650177,0.00017005552945192903
0.0,1944,1430.014965,0.05146482214331627,0.008636796846985817
0.0,1601,1584.521734,0.06248531490564346,0.012766238301992416
100.0,275,1587.805822,0.05136492848396301,0.007564350496977568
0.0,1572,1606.505822,0.06365582346916199,0.029222983866930008
0.0,1371,1622.821497,0.07296007871627808,0.03463811054825783
0.0,1152,1636.576367,0.08684411644935608,0.04316594824194908
0.0,875,1782.73892,0.11429430544376373,0.013052280992269516
0.0,484,1788.618592,0.20674638450145721,0.05259053036570549
0.0,452,1794.162445,0.2216705083847046,0.021129285916686058
0.0,1027,1806.417281,0.09738943725824356,0.04880456626415253
100.0,1076,1819.227247,0.06440216302871704,0.05755734443664551
100.0,113,1963.334405,0.287647545337677,0.010786272585391998
0.0,1386,1980.18257,0.0721525028347969,0.025705991312861443
0.0,612,1987.519684,0.163609117269516,0.05516979470849037
100.0,224,1990.211341,0.23651918768882751,0.061213500797748566
0.0,495,1996.156995,0.20231737196445465,0.01798083446919918
100.0,159,2141.617179,0.14297248423099518,0.10841044783592224
0.0,355,2145.993674,0.2817853093147278,0.12203565239906311
0.0,687,2154.33126,0.14565040171146393,0.04662187397480011
0.0,1454,2171.757084,0.068782277405262,0.016675163060426712
0.0,616,2179.153739,0.16247855126857758,0.013795427978038788
0.0,635,2330.601179,0.1577056497335434,0.05398046597838402
0.0,581,2337.657111,0.17229601740837097,0.051732439547777176
0.0,1601,2356.977084,0.062473371624946594,0.04916883632540703
