#{"t_start": 1749070758.6355977, "env_id": "None"}
r,l,t
0.0,100,146.589972
0.0,100,148.240686
0.0,100,149.913924
0.0,100,151.573188
0.0,100,153.207016
0.0,100,305.780139
0.0,100,307.426627
0.0,100,309.051398
0.0,100,310.728849
0.0,100,312.378597
0.0,100,469.581861
100.0,41,470.268833
0.0,100,471.945444
0.0,100,473.586932
100.0,9,473.740316
100.0,26,634.34229
100.0,86,635.757162
0.0,100,637.41081
100.0,15,637.667345
100.0,98,639.306317
100.0,15,802.494014
0.0,100,804.136753
100.0,59,805.125621
100.0,21,805.478657
100.0,27,805.926405
100.0,21,973.898844
100.0,30,974.398997
100.0,12,974.601031
100.0,23,974.993452
100.0,20,975.336764
100.0,26,1148.042613
100.0,14,1148.291785
100.0,16,1148.56208
100.0,36,1149.163826
100.0,12,1149.368231
100.0,12,1328.409439
100.0,13,1328.636842
100.0,54,1329.540278
100.0,24,1329.942664
100.0,42,1330.6498
100.0,14,1509.365787
100.0,29,1509.848923
100.0,11,1510.032188
100.0,18,1510.329557
100.0,31,1510.844409
100.0,24,1694.753463
100.0,30,1695.261933
100.0,21,1695.611632
100.0,24,1696.012337
0.0,100,1697.678224
044
0.0,100,40.355653
-100.0,31,40.791957
-100.0,89,42.049982
0.0,100,43.418457
0.0,100,44.794204
0.0,100,46.189678
-100.0,7,46.294631
0.0,100,47.673345
0.0,100,49.050482
-100.0,34,49.520157
-100.0,54,50.264236
-100.0,76,51.307855
0.0,100,52.681724
-100.0,25,53.028101
-100.0,63,53.915288
100.0,69,54.899569
0.0,100,56.336516
-100.0,42,56.940403
-100.0,10,57.083782
-100.0,7,57.190735
0.0,100,58.56378
0.0,100,61.327798
0.0,100,62.704259
100.0,33,63.157663
0.0,100,64.53858
-100.0,70,65.509844
0.0,100,66.895597
0.0,100,68.282221
0.0,100,69.664054
0.0,100,71.042869
0.0,100,72.478578
-100.0,79,73.562731
0.0,100,74.935079
0.0,100,76.302375
0.0,100,77.670032
-100.0,1,77.689053
-100.0,76,78.760202
0.0,100,80.129661
0.0,100,81.495981
0.0,100,82.870141
0.0,100,84.274692
0.0,100,85.683347
-100.0,22,86.000462
0.0,100,87.388352
-100.0,8,87.502629
0.0,100,90.272045
0.0,100,91.663394
0.0,100,93.04604
0.0,100,94.433681
0.0,100,95.808728
0.0,100,97.189567
0.0,100,98.585165
-100.0,10,98.736047
0.0,100,100.12094
0.0,100,101.52358
100.0,51,102.227761
0.0,100,103.607643
100.0,10,103.751292
0.0,100,105.119117
0.0,100,106.495212
0.0,100,107.907818
0.0,100,109.314152
100.0,27,109.699834
0.0,100,111.092954
0.0,100,112.518981
0.0,100,113.91068
0.0,100,115.305103
0.0,100,116.704033
100.0,1,116.724583
0.0,100,118.117761
0.0,100,120.915042
0.0,100,122.329401
0.0,100,123.764353
100.0,41,124.333025
0.0,100,125.705175
0.0,100,127.074801
100.0,83,128.219318
0.0,100,129.618518
0.0,100,130.998977
0.0,100,132.374066
-100.0,6,132.462752
100.0,20,132.740999
0.0,100,134.127359
100.0,59,134.962741
0.0,100,136.327853
0.0,100,137.724744
0.0,100,139.097779
100.0,99,140.455794
0.0,100,141.820589
-100.0,6,141.911386
0.0,100,143.289292
0.0,100,144.681323
100.0,34,153.418296
0.0,100,154.837777
0.0,100,156.263347
0.0,100,159.165587
0.0,100,160.594671
0.0,100,162.052535
0.0,100,163.482555
0.0,100,164.909199
100.0,1,164.93022
0.0,100,166.343198
0.0,100,167.786755
0.0,100,169.204937
0.0,100,170.627829
0.0,100,172.045054
100.0,14,172.246971
0.0,100,173.666914
0.0,100,175.092048
-100.0,96,176.456758
0.0,100,177.869435
0.0,100,179.283198
0.0,100,180.696992
0.0,100,182.114379
0.0,100,183.561141
0.0,100,185.005174
100.0,29,185.422518
0.0,100,186.893124
0.0,100,189.873195
0.0,100,191.366145
0.0,100,192.845796
100.0,90,194.116303
100.0,13,194.309798
0.0,100,195.74287
0.0,100,197.181944
0.0,100,198.629809
0.0,100,200.048825
100.0,99,201.447996
0.0,100,202.871067
100.0,88,204.120668
0.0,100,205.534668
100.0,54,206.303341
0.0,100,207.756838
0.0,100,209.189923
100.0,41,209.777292
0.0,100,211.244428
100.0,10,211.396461
0.0,100,212.820692
100.0,14,213.032557
100.0,7,213.13805
0.0,100,214.570691
-100.0,56,215.370258
