#{"t_start": 1748944045.8882675, "env_id": "None"}
r,l,t,mean_dt,std_dt
0.0,1944,181.573719,0.05144716054201126,0.004542018286883831
0.0,2000,206.974956,0.05000000819563866,7.450580596923828e-09
0.0,2000,232.943067,0.05000000819563866,7.450580596923828e-09
0.0,2000,258.912939,0.05000000819563866,7.450580596923828e-09
0.0,1881,282.709155,0.05317244306206703,0.005704243667423725
0.0,2000,454.850614,0.050007373094558716,0.0001758829312166199
0.0,1811,478.427557,0.05523857846856117,0.008623631671071053
0.0,1999,504.071748,0.05002541095018387,0.0005818630452267826
0.0,2000,529.961485,0.05000000819563866,7.450580596923828e-09
0.0,1998,555.371907,0.050058718770742416,0.0007622315897606313
0.0,2000,749.043531,0.05000000819563866,7.450580596923828e-09
0.0,1977,774.216578,0.05060049891471863,0.003683377057313919
0.0,1738,796.327469,0.05755332112312317,0.012233610264956951
0.0,1937,821.234004,0.05164552479982376,0.008581511676311493
0.0,2000,846.71873,0.05000000819563866,7.450580596923828e-09
100.0,758,1004.292642,0.050523724406957626,0.003095965599641204
0.0,1488,1022.859479,0.06723564863204956,0.019609203562140465
0.0,1648,1043.704502,0.060693878680467606,0.023592138662934303
0.0,1953,1067.999736,0.05122348293662071,0.004929589107632637
0.0,2000,1092.854024,0.05000000819563866,7.450580596923828e-09
100.0,542,1245.744474,0.06490981578826904,0.038079068064689636
0.0,1856,1269.017038,0.053896740078926086,0.012771503068506718
0.0,1516,1287.943143,0.06596856564283371,0.03628971427679062
0.0,1411,1305.514422,0.07090002298355103,0.03965556249022484
100.0,1080,1318.937696,0.07455223798751831,0.029108606278896332
100.0,244,1470.086624,0.0625644102692604,0.03479394316673279
100.0,376,1474.824648,0.10596825182437897,0.06340470910072327
0.0,2000,1499.794952,0.05000000819563866,7.450580596923828e-09
0.0,1455,1517.939657,0.06874711066484451,0.044179517775774
0.0,1546,1537.191089,0.06469231098890305,0.044215939939022064
100.0,1,1683.526196,0.05000000074505806,0.0
0.0,1661,1704.906317,0.06021330505609512,0.03544624149799347
0.0,1708,1727.16418,0.05856722593307495,0.042636219412088394
0.0,1039,1740.203821,0.09627407044172287,0.08641111850738525
0.0,1810,1762.820745,0.055288560688495636,0.02383057214319706
100.0,223,1917.286631,0.09966319054365158,0.07747747749090195
0.0,1778,1939.530895,0.0562642365694046,0.02512696199119091
100.0,374,1944.230065,0.06804125010967255,0.04656164348125458
100.0,333,1948.358632,0.08527234196662903,0.05648370832204819
0.0,1882,1971.733578,0.05314309522509575,0.022626712918281555
100.0,234,2129.254406,0.1304749697446823,0.060524698346853256
0.0,718,2138.340011,0.13929632306098938,0.07777395844459534
0.0,1095,2152.730552,0.09156715869903564,0.04605676233768463
0.0,1613,2173.132574,0.062002986669540405,0.03229020908474922
0.0,908,2184.537264,0.11015966534614563,0.07722975313663483
0.0,1275,2358.226607,0.07843396067619324,0.07532399147748947
0.0,1605,2378.434963,0.06250771135091782,0.03911619633436203
0.0,1339,2395.199575,0.0747043564915657,0.0684613287448883
0.0,1306,2411.530877,0.07660642266273499,0.06348857283592224
0.0,1272,2427.559592,0.07862592488527298,0.08323560655117035
0.0,1996,2611.41901,0.05010269209742546,0.0009830795461311936
100.0,1,2611.440119,0.17017175257205963,0.0
0.0,1561,2631.508764,0.06408276408910751,0.053137507289648056
100.0,43,2632.051949,0.29297196865081787,0.10505583882331848
0.0,1063,2645.291238,0.09438689798116684,0.08991613984107971
0.0,1279,2818.141075,0.0782196894288063,0.09634873270988464
0.0,530,2824.845474,0.18876051902770996,0.16188755631446838
100.0,59,2825.596429,0.4170398414134979,0.14101283252239227
0.0,1174,2840.279557,0.085203617811203,0.11272525787353516
0.0,1248,2855.954332,0.08013059943914413,0.10109741240739822
0.0,2000,3038.878922,0.05000000819563866,7.450580596923828e-09
100.0,46,3039.471768,0.4883003532886505,0.16647720336914062
0.0,567,3046.608713,0.17665879428386688,0.06153741851449013
100.0,166,3048.698091,0.3065071702003479,0.2359658032655716
0.0,1995,3073.706588,0.05012473836541176,0.0015425552846863866
0.0,383,3236.664966,0.2616647779941559,0.12925222516059875
0.0,1173,3252.09179,0.08526542037725449,0.12919214367866516
100.0,21,3252.369935,0.5638867020606995,0.17938397824764252
0.0,526,3259.1383,0.19029894471168518,0.06248728930950165
100.0,83,3260.217876,0.5250870585441589,0.21501320600509644
100.0,79,3417.048577,0.34676963090896606,0.31606122851371765
0.0,1929,3443.139075,0.05185318738222122,0.031156815588474274
0.0,1055,3457.923586,0.09482203423976898,0.11851679533720016
0.0,1096,3471.808654,0.0912800207734108,0.12401201575994492
0.0,439,3477.425027,0.2282806634902954,0.1663496047258377
100.0,168,3637.947007,0.4090419113636017,0.09982643276453018
0.0,720,3647.608686,0.13904060423374176,0.1406593918800354
0.0,1176,3662.511398,0.08506868779659271,0.08931129425764084
0.0,649,3670.69093,0.1541215032339096,0.13481728732585907
0.0,1426,3688.707842,0.07016770541667938,0.09706316888332367
0.0,1045,3868.614695,0.09573164582252502,0.09690605103969574
100.0,21,3868.896093,0.8186031579971313,0.1297180950641632
100.0,29,3869.271403,0.4479334354400635,0.22269868850708008
100.0,1,3869.295436,0.4646817743778229,0.0
0.0,1959,3893.96592,0.05106910318136215,0.016393477097153664
100.0,5,4056.239295,0.8237935900688171,0.13998018205165863
0.0,433,4063.57821,0.23112072050571442,0.08914855867624283
0.0,1530,4083.548772,0.0653623640537262,0.10452708601951599
100.0,98,4084.788342,0.2234417051076889,0.29850494861602783
0.0,1962,4109.383286,0.050987016409635544,0.012656310573220253
0.0,1446,4293.595514,0.06918276101350784,0.07002206146717072
100.0,34,4294.041878,0.6024636030197144,0.2670491933822632
0.0,1961,4318.719374,0.051013510674238205,0.014479311183094978
100.0,42,4319.252818,0.3875357210636139,0.21589206159114838
0.0,859,4330.080451,0.11648207902908325,0.07581920176744461
0.0,639,4503.517341,0.15655171871185303,0.0818636417388916
0.0,525,4510.204136,0.19052910804748535,0.13578321039676666
0.0,1413,4527.99252,0.07080130279064178,0.07885469496250153
0.0,568,4535.205138,0.17627418041229248,0.07806875556707382
100.0,4,4535.263745,1.1228818893432617,0.24464301764965057
0.0,1334,4717.445809,0.07499745488166809,0.09512832015752792
0.0,1589,4737.944008,0.06295482814311981,0.0515529103577137
0.0,394,4742.963036,0.2540879249572754,0.13946713507175446
0.0,400,4748.035916,0.2501782476902008,0.1417430192232132
100.0,61,4748.830974,0.42142626643180847,0.2620251774787903
