#{"t_start": 1749237615.2356575, "env_id": "None"}
r,l,t
0.0,75,152.941559
100.0,45,153.534139
0.0,75,154.520517
0.0,75,155.522286
0.0,75,156.540117
0.0,75,306.046983
100.0,23,306.352339
100.0,4,306.409907
0.0,75,307.396985
0.0,75,308.395975
100.0,29,460.7746
100.0,26,461.125124
100.0,10,461.261188
100.0,12,461.424571
100.0,32,461.854053
100.0,7,617.946004
100.0,11,618.104364
0.0,75,619.124988
0.0,75,620.133501
100.0,16,620.353641
100.0,8,778.254605
100.0,14,778.445599
100.0,14,778.637061
100.0,38,779.149266
100.0,36,779.633284
0.0,75,941.651651
100.0,62,942.478106
100.0,15,942.681348
100.0,14,942.868683
100.0,34,943.326028
100.0,11,1107.00619
100.0,6,1107.09134
100.0,11,1107.241086
100.0,22,1107.539347
100.0,16,1107.756706
100.0,6,1273.130505
100.0,2,1273.165105
100.0,6,1273.251257
100.0,19,1273.503377
100.0,16,1273.719811
100.0,15,1442.476048
100.0,49,1443.134885
100.0,25,1443.475629
100.0,7,1443.571906
100.0,21,1443.855688
100.0,10,1617.689291
100.0,8,1617.813737
100.0,15,1618.022023
100.0,18,1618.266301
100.0,25,1618.606175
100.0,13,1794.319586
100.0,18,1794.567155
100.0,14,1794.761048
100.0,6,1794.846237
100.0,24,1795.1718
100.0,7,1972.243063
100.0,21,1972.535458
100.0,16,1972.776301
100.0,11,1972.940871
100.0,5,1973.018195
100.0,7,2154.048005
100.0,4,2154.110287
100.0,7,2154.221784
100.0,11,2154.374329
100.0,20,2154.659317
100.0,8,2336.950569
100.0,5,2337.027444
100.0,5,2337.100019
100.0,3,2337.152482
100.0,11,2337.305166
100.0,18,2521.778919
100.0,1,2521.799948
100.0,6,2521.885644
100.0,12,2522.054056
100.0,11,2522.204858
8.149946
-100.0,11,58.306651
-100.0,30,58.722925
0.0,75,59.76528
100.0,32,60.215143
0.0,75,61.256316
0.0,75,62.336467
0.0,75,63.377878
-100.0,25,63.737718
0.0,75,64.786574
-100.0,46,65.425332
100.0,10,65.568493
-100.0,58,67.429973
0.0,75,68.478298
0.0,75,69.534706
0.0,75,70.582956
-100.0,8,70.706353
0.0,75,71.765446
-100.0,29,72.173848
100.0,28,72.564559
0.0,75,73.608269
0.0,75,74.656437
0.0,75,75.712625
100.0,53,76.477889
0.0,75,77.526987
100.0,51,78.246392
0.0,75,79.287875
0.0,75,80.336048
0.0,75,81.373518
0.0,75,82.42628
-100.0,61,83.277092
0.0,75,84.318933
