episode,resultado
164934,llegada
164935,llegada
165023,llegada
165174,llegada
165214,llegada
165236,llegada
165990,timeout
166046,choque
166068,llegada
166093,llegada
166298,choque
167107,timeout
167666,llegada
167684,llegada
167705,llegada
167721,llegada
167931,choque
168051,choque
168852,llegada
169224,timeout
169245,llegada
169342,choque
169407,llegada
169489,llegada
169724,llegada
169817,llegada
170334,timeout
170637,llegada
171029,choque
171066,choque
171296,choque
171355,llegada
171416,llegada
171496,llegada
171721,llegada
171818,llegada
171973,choque
172444,llegada
173343,timeout
173364,llegada
173553,llegada
174015,timeout
174066,llegada
174573,timeout
174666,llegada
174703,llegada
174724,llegada
174893,llegada
175051,llegada
175722,timeout
175757,llegada
175931,choque
176457,timeout
176556,llegada
176797,llegada
177174,llegada
177235,llegada
177493,llegada
177953,llegada
178141,llegada
178177,llegada
178561,llegada
178967,timeout
179064,llegada
179170,llegada
179184,choque
179269,choque
179460,llegada
179599,llegada
179656,llegada
179934,llegada
180075,llegada
180094,choque
181045,timeout
181386,llegada
181733,timeout
181766,llegada
181928,llegada
182071,llegada
182147,llegada
182254,llegada
182381,choque
182399,llegada
182483,llegada
182996,timeout
183022,llegada
183103,llegada
183111,llegada
183169,choque
183776,timeout
183800,choque
183914,llegada
183936,llegada
184006,llegada
184060,llegada
184423,timeout
184728,llegada
184989,llegada
185008,llegada
185016,llegada
185052,llegada
185130,llegada
185141,llegada
185166,llegada
185869,timeout
186258,timeout
186265,llegada
186314,choque
186386,llegada
186451,llegada
186519,llegada
186856,llegada
186942,llegada
186971,llegada
187070,llegada
187086,llegada
187246,llegada
187269,llegada
187485,llegada
187503,choque
188002,timeout
188049,choque
188072,llegada
188092,llegada
188195,llegada
188987,timeout
189152,llegada
189182,llegada
189269,llegada
189290,choque
189291,llegada
189412,llegada
189722,llegada
189782,llegada
190027,llegada
190059,llegada
190644,timeout
190738,choque
191088,llegada
191135,llegada
191236,llegada
191650,timeout
191670,choque
191765,llegada
192153,llegada
192195,llegada
192543,llegada
193478,timeout
193586,llegada
193619,choque
193630,choque
193715,llegada
194631,timeout
194680,llegada
194723,llegada
194916,llegada
195168,llegada
195188,llegada
195374,llegada
195652,llegada
195791,choque
196036,choque
196067,llegada
196578,timeout
196610,llegada
196638,llegada
196661,llegada
196701,llegada
196736,llegada
196827,llegada
196857,llegada
197164,choque
197606,timeout
197647,llegada
197707,llegada
198458,timeout
198508,llegada
199212,timeout
199415,choque
199789,timeout
199833,llegada
200658,timeout
200666,llegada
200779,llegada
200812,choque
201499,timeout
201559,llegada
201574,llegada
201642,choque
201707,llegada
201753,choque
201819,llegada
202084,llegada
202683,timeout
202845,llegada
203191,llegada
203658,llegada
203746,llegada
204112,llegada
204118,llegada
204280,llegada
204285,llegada
204359,llegada
204406,llegada
204655,llegada
204723,llegada
205340,timeout
205887,timeout
205929,llegada
205958,llegada
206105,llegada
206142,llegada
206191,llegada
206327,llegada
206435,llegada
206479,llegada
206579,llegada
206676,llegada
206760,llegada
206788,llegada
207240,timeout
207304,llegada
207334,choque
207366,llegada
207386,llegada
207425,choque
207478,llegada
207490,llegada
207512,llegada
207586,choque
207884,llegada
207917,llegada
207930,llegada
208028,llegada
208089,llegada
208186,llegada
208196,llegada
208399,llegada
208400,llegada
208431,llegada
208472,llegada
208512,llegada
208749,choque
208796,llegada
208858,llegada
208890,llegada
208957,choque
208974,llegada
209896,timeout
210074,llegada
210296,llegada
210573,llegada
210690,choque
210773,llegada
210845,llegada
211092,llegada
211143,llegada
211232,choque
211260,llegada
211908,timeout
211950,llegada
211951,llegada
212016,llegada
212023,llegada
212346,choque
212961,timeout
213237,llegada
213399,llegada
213452,llegada
213455,llegada
213609,llegada
213666,llegada
213788,llegada
213792,llegada
213849,llegada
213906,llegada
214162,llegada
214241,choque
214323,llegada
214387,llegada
214451,llegada
214692,llegada
215379,timeout
215565,llegada
215744,choque
215793,llegada
215852,llegada
215872,choque
216415,timeout
216965,timeout
217125,llegada
217244,llegada
217416,llegada
218001,timeout
218686,timeout
218701,llegada
218726,llegada
218900,llegada
219039,llegada
219090,llegada
219284,llegada
219926,timeout
220083,llegada
220096,llegada
220125,choque
220161,llegada
220210,llegada
220227,llegada
220252,llegada
220326,llegada
220382,llegada
220795,timeout
220826,llegada
220994,choque
221022,llegada
221196,llegada
221253,llegada
221856,timeout
221857,llegada
222130,llegada
222191,choque
222381,llegada
222544,llegada
222604,llegada
222615,llegada
222964,llegada
223009,llegada
223047,llegada
223055,llegada
223159,llegada
223187,choque
223227,llegada
223262,llegada
223272,llegada
223548,llegada
223729,llegada
223798,llegada
224103,llegada
224206,llegada
224216,llegada
224252,llegada
224267,llegada
224388,llegada
224464,llegada
224480,llegada
224894,timeout
225376,llegada
225438,choque
225484,llegada
225498,llegada
225540,llegada
225792,llegada
225815,llegada
225856,llegada
226283,timeout
226365,choque
226375,llegada
226413,llegada
226475,llegada
226828,llegada
226990,llegada
227071,llegada
227166,llegada
227195,llegada
227285,llegada
227333,llegada
227474,llegada
227511,llegada
227545,llegada
227633,llegada
228145,timeout
228286,llegada
228299,llegada
228785,timeout
228802,llegada
228857,llegada
228867,llegada
229096,llegada
229097,llegada
229107,llegada
229227,llegada
230030,timeout
230073,llegada
230276,llegada
230277,llegada
230372,choque
230673,llegada
230702,choque
231093,llegada
231179,choque
231306,llegada
231341,llegada
231587,llegada
231620,llegada
231656,llegada
231666,llegada
231675,llegada
231710,llegada
231831,llegada
231933,llegada
231934,llegada
231950,llegada
232188,llegada
232626,llegada
232666,llegada
232689,llegada
232699,llegada
232725,llegada
233157,timeout
233506,choque
233587,llegada
233976,llegada
234684,timeout
234707,llegada
234736,choque
234766,choque
234774,llegada
234879,llegada
234942,llegada
234977,llegada
235006,llegada
235056,choque
235327,llegada
235943,timeout
235947,llegada
235982,llegada
236011,llegada
236127,llegada
236148,llegada
236158,llegada
236864,timeout
236943,llegada
236963,llegada
236971,llegada
236988,llegada
237018,llegada
237092,llegada
237186,llegada
237338,llegada
237499,llegada
237597,llegada
237682,llegada
237734,choque
238012,llegada
238157,llegada
238681,timeout
238723,llegada
239056,llegada
239203,choque
239440,llegada
239506,llegada
239528,llegada
239570,llegada
239627,llegada
239748,llegada
239834,llegada
240459,timeout
240641,choque
240648,llegada
240656,llegada
240722,llegada
240851,llegada
240955,choque
241001,llegada
241017,llegada
241189,llegada
241210,llegada
241229,choque
241240,llegada
241324,llegada
241395,llegada
241432,llegada
241473,llegada
241578,llegada
241778,llegada
241807,choque
241821,llegada
241831,llegada
241910,llegada
241949,llegada
241955,llegada
241994,llegada
242028,llegada
242052,choque
242085,choque
242164,llegada
242254,llegada
242281,llegada
242312,llegada
242335,llegada
242446,choque
242489,llegada
242630,llegada
242660,choque
242669,llegada
242708,llegada
242727,llegada
242749,choque
242761,choque
243374,llegada
243473,llegada
243536,llegada
243732,llegada
243762,llegada
243822,llegada
243908,llegada
244025,choque
244501,timeout
244784,llegada
244905,llegada
244928,choque
245066,llegada
245238,llegada
245285,llegada
245309,llegada
245355,choque
245425,llegada
245428,llegada
245462,llegada
245476,llegada
245492,choque
245529,llegada
245678,choque
245723,llegada
245750,llegada
245793,llegada
245913,llegada
245935,llegada
246055,llegada
246073,llegada
246095,llegada
246122,llegada
246141,llegada
246178,llegada
246264,llegada
246305,llegada
246315,llegada
246404,llegada
246413,llegada
246454,llegada
246480,llegada
246553,llegada
246584,llegada
246593,llegada
246640,llegada
246683,llegada
246704,llegada
246834,llegada
246841,choque
246881,llegada
246953,choque
247101,llegada
247118,llegada
247611,timeout
247672,llegada
247755,llegada
247836,choque
247896,llegada
247955,llegada
247972,llegada
248096,llegada
248563,timeout
248700,llegada
248710,llegada
248799,choque
249142,llegada
249267,choque
249302,llegada
249582,llegada
249682,llegada
249717,choque
249738,llegada
249808,llegada
249834,llegada
249905,choque
249954,llegada
250035,llegada
250123,choque
250165,choque
250315,llegada
250383,llegada
250445,llegada
250563,llegada
250582,llegada
250621,llegada
250646,llegada
250687,choque
250753,llegada
250779,choque
250880,llegada
250944,choque
250959,llegada
250963,llegada
251016,llegada
251026,llegada
251127,llegada
251169,choque
251235,choque
251336,llegada
251437,llegada
251466,choque
251577,choque
251744,llegada
251903,llegada
251917,llegada
252368,llegada
252394,llegada
252423,llegada
252786,llegada
252831,llegada
252863,llegada
252891,llegada
252902,llegada
253057,llegada
253091,llegada
253119,llegada
253216,llegada
253233,llegada
253390,llegada
253427,llegada
253436,llegada
253500,llegada
253513,choque
253591,llegada
253595,llegada
253633,choque
253705,llegada
253744,llegada
254009,llegada
254036,llegada
254059,choque
254132,choque
254282,llegada
254414,llegada
254498,llegada
254712,choque
254772,llegada
254780,llegada
254833,llegada
254882,llegada
254935,llegada
255007,llegada
255038,choque
255043,llegada
255060,llegada
255177,llegada
255353,llegada
255689,llegada
255720,llegada
255790,llegada
255958,llegada
256052,choque
256166,llegada
256229,llegada
256353,llegada
256393,llegada
256402,llegada
256451,llegada
256456,llegada
256716,choque
256767,llegada
256782,llegada
256812,llegada
256825,llegada
256832,choque
256869,llegada
256909,llegada
256998,llegada
256999,llegada
257100,llegada
257213,llegada
257670,timeout
257682,llegada
257743,llegada
257747,llegada
257850,llegada
258163,llegada
258191,llegada
258257,llegada
258383,llegada
258465,choque
258491,llegada
258758,llegada
258781,choque
258990,choque
259062,llegada
259125,llegada
259163,llegada
259185,llegada
259325,llegada
259468,llegada
259688,llegada
259703,llegada
259724,llegada
259810,llegada
259871,llegada
