#{"t_start": 1749224995.517003, "env_id": "None"}
r,l,t
0.0,200,157.705702
0.0,200,161.03062
0.0,200,164.407831
0.0,200,166.969635
0.0,200,169.518053
0.0,200,323.73791
0.0,200,326.725904
0.0,200,329.237206
0.0,200,331.722296
0.0,200,334.267646
0.0,200,507.581917
0.0,200,511.001064
0.0,200,514.270869
0.0,200,517.576376
0.0,200,520.824482
100.0,61,720.434857
0.0,200,723.898968
0.0,200,727.281362
0.0,200,730.614591
0.0,200,733.89245
0.0,200,926.278386
100.0,64,927.123377
100.0,70,928.071126
100.0,104,929.445849
0.0,200,932.160274
0.0,200,1114.651133
0.0,200,1118.463805
100.0,32,1119.014959
0.0,200,1122.993278
100.0,109,1124.70996
100.0,35,1330.585478
100.0,25,1331.034981
100.0,29,1331.541944
100.0,41,1332.252732
0.0,200,1335.807881
100.0,20,1546.120498
100.0,8,1546.262199
100.0,18,1546.560292
100.0,50,1547.381421
100.0,41,1548.068747
100.0,55,1759.859002
100.0,178,1763.040394
100.0,104,1764.891316
100.0,18,1765.222275
100.0,46,1766.048059
100.0,34,1983.772028
100.0,21,1984.147845
100.0,37,1984.822772
100.0,33,1985.440718
100.0,49,1986.295459
100.0,29,2207.596007
100.0,47,2208.463059
100.0,33,2209.095042
100.0,23,2209.53401
100.0,52,2210.489644
100.0,25,2433.605148
100.0,52,2434.560731
100.0,45,2435.400511
100.0,31,2435.979625
100.0,18,2436.320547
100.0,18,2661.989079
100.0,11,2662.191558
100.0,29,2662.724009
100.0,39,2663.414403
100.0,21,2663.784148
100.0,29,2869.932423
100.0,20,2870.201032
100.0,17,2870.433459
100.0,11,2870.58237
100.0,36,2871.060084
100.0,57,3075.781662
100.0,2,3075.819716
100.0,21,3076.152195
100.0,39,3076.77266
100.0,30,3077.266054

0.0,200,190.222242
0.0,200,193.183721
0.0,200,196.091338
100.0,4,196.149392
0.0,200,198.825265
0.0,200,201.585196
0.0,200,205.667901
0.0,200,208.331835
100.0,106,209.766265
100.0,62,210.643939
100.0,169,212.982248
0.0,200,215.575311
100.0,40,216.207345
0.0,200,219.497554
0.0,200,222.135145
100.0,92,223.372626
0.0,200,226.21608
100.0,181,228.886987
0.0,200,231.698011
0.0,200,235.725271
100.0,120,237.51223
100.0,137,239.504853
100.0,93,240.87901
0.0,200,243.633569
0.0,200,246.268415
100.0,164,248.630319
100.0,164,251.018578
0.0,200,254.047035
0.0,200,257.009656
0.0,200,260.085815
0.0,200,263.056432
100.0,64,263.991724
100.0,186,268.225212
0.0,200,271.385691
0.0,200,274.628117
0.0,200,277.486819
100.0,64,278.410554
0.0,200,281.32115
0.0,200,284.189389
0.0,200,287.008235
100.0,163,289.35627
0.0,200,292.240731
100.0,130,294.199181
0.0,200,298.336574
100.0,99,299.751762
0.0,200,302.591242
0.0,200,305.488257
100.0,186,308.129774
100.0,72,309.150709
0.0,200,312.193254
0.0,200,315.080806
100.0,126,316.890078
0.0,200,319.925619
100.0,162,336.049981
0.0,200,339.563378
0.0,200,344.197071
0.0,200,347.406005
-100.0,92,349.520491
0.0,200,352.933935
