episode,resultado
4,choque
23,choque
105,choque
135,choque
223,choque
228,choque
253,choque
256,choque
262,choque
355,choque
408,choque
410,choque
478,choque
484,choque
513,choque
567,choque
667,timeout
716,choque
801,choque
827,choque
891,llegada
938,choque
968,choque
980,choque
1040,llegada
1092,choque
1101,choque
1158,choque
1258,timeout
1328,choque
1333,choque
1360,choque
1413,choque
1435,choque
1482,choque
1547,choque
1553,choque
1598,choque
1636,choque
1638,choque
1699,choque
1709,choque
1739,choque
1838,choque
1839,choque
1847,choque
1859,choque
1935,choque
1964,choque
1992,choque
2000,choque
2003,choque
2038,choque
2060,choque
2111,choque
2211,timeout
2311,timeout
2411,timeout
2511,timeout
2551,choque
2561,choque
2603,choque
2669,choque
2769,timeout
2774,choque
2831,choque
2855,choque
2955,timeout
2972,choque
2976,choque
3003,llegada
3078,llegada
3081,choque
3155,llegada
3203,choque
3219,choque
3237,choque
3263,choque
3333,choque
3428,choque
3528,timeout
3554,llegada
3654,timeout
3754,timeout
3756,choque
3856,timeout
3910,choque
4010,timeout
4059,choque
4086,choque
4131,choque
4231,timeout
4331,timeout
4431,timeout
4531,timeout
4631,timeout
4653,choque
4734,llegada
4834,timeout
4934,timeout
4938,choque
5038,timeout
5138,timeout
5238,timeout
5338,timeout
5438,timeout
5538,timeout
5638,timeout
5738,timeout
5838,timeout
5850,choque
5950,timeout
6050,timeout
6150,timeout
6250,timeout
6350,timeout
6423,llegada
6470,llegada
6568,choque
6668,timeout
6686,choque
6786,timeout
6886,timeout
6986,timeout
7086,timeout
7186,timeout
7286,timeout
7386,timeout
7398,llegada
7407,choque
7507,timeout
7607,timeout
7707,timeout
7720,llegada
7820,timeout
7920,timeout
8020,timeout
8120,timeout
8220,timeout
8320,timeout
8420,timeout
8520,timeout
8620,timeout
8720,timeout
8820,timeout
8821,choque
8921,timeout
9021,timeout
9121,timeout
9221,timeout
9321,timeout
9421,timeout
9521,timeout
9561,llegada
9643,llegada
9743,timeout
9843,timeout
9943,timeout
10033,llegada
10102,llegada
10202,timeout
10302,timeout
10402,timeout
10449,llegada
10549,timeout
10649,timeout
10749,timeout
10849,timeout
10949,timeout
11049,timeout
11149,timeout
11249,timeout
11349,timeout
11449,timeout
11492,llegada
11592,timeout
11600,llegada
11612,llegada
11690,llegada
11790,timeout
11807,llegada
11907,timeout
12007,timeout
12107,timeout
12207,timeout
12236,llegada
12300,llegada
12328,llegada
12358,llegada
12458,timeout
12558,timeout
12614,llegada
12714,timeout
12722,choque
12744,llegada
12844,timeout
12944,timeout
13044,timeout
13144,timeout
13244,timeout
13328,llegada
13371,llegada
13471,timeout
13571,timeout
13669,llegada
13732,llegada
13810,llegada
13879,llegada
13979,timeout
14079,timeout
14106,choque
14190,llegada
14235,llegada
14335,timeout
14435,timeout
14491,llegada
14518,llegada
14556,llegada
14603,llegada
14703,timeout
14803,timeout
14850,llegada
14937,llegada
15033,llegada
15050,llegada
15065,choque
15083,llegada
15104,llegada
15204,timeout
15304,timeout
15404,timeout
15449,choque
15479,llegada
15481,llegada
15539,llegada
15604,llegada
15670,llegada
15770,timeout
15807,llegada
15874,llegada
15956,llegada
16056,timeout
16156,timeout
16210,llegada
16226,choque
16263,llegada
16299,llegada
16319,llegada
16387,choque
16482,llegada
16582,timeout
16682,timeout
16699,llegada
16793,llegada
16893,timeout
16981,llegada
17031,llegada
17131,timeout
17231,timeout
17331,timeout
17413,llegada
17513,timeout
17613,llegada
17636,llegada
17704,llegada
17765,llegada
17865,timeout
17951,choque
18051,timeout
18110,llegada
18173,llegada
18267,llegada
18367,timeout
18467,timeout
18480,llegada
18512,llegada
18612,timeout
18635,llegada
18683,llegada
18775,llegada
18818,llegada
18830,llegada
18889,llegada
18989,timeout
19046,llegada
19054,choque
19079,llegada
19141,llegada
19188,llegada
19288,timeout
19324,llegada
19365,llegada
19402,llegada
19502,timeout
19602,timeout
19642,llegada
19676,llegada
19761,llegada
19771,llegada
19839,llegada
19871,llegada
19941,llegada
20041,timeout
20141,timeout
20186,llegada
20209,llegada
20252,llegada
20352,timeout
20353,llegada
20453,timeout
20552,choque
20618,llegada
20718,timeout
20809,llegada
20905,llegada
20937,llegada
20969,llegada
21041,llegada
21063,llegada
21111,llegada
21177,llegada
21237,llegada
21282,llegada
21327,llegada
21427,timeout
21473,llegada
21537,llegada
21619,llegada
21693,llegada
21733,llegada
21773,choque
21819,llegada
21887,llegada
21981,llegada
22037,llegada
22137,timeout
22159,llegada
22197,llegada
22289,llegada
22315,llegada
22351,choque
22451,timeout
22470,llegada
22471,choque
22477,llegada
22487,llegada
22587,timeout
22636,llegada
22679,llegada
22682,llegada
22782,timeout
22858,llegada
22879,llegada
22903,llegada
22976,llegada
23045,llegada
23145,timeout
23228,llegada
23328,timeout
23395,llegada
23460,llegada
23468,choque
23535,llegada
23559,llegada
23584,llegada
23625,llegada
23664,llegada
23704,llegada
23759,llegada
23779,llegada
23800,llegada
23866,choque
23914,llegada
24014,timeout
24114,timeout
24214,timeout
24314,timeout
24345,llegada
24374,llegada
24426,llegada
24470,llegada
24540,llegada
24593,llegada
24607,llegada
24657,llegada
24685,llegada
24771,llegada
24806,llegada
24906,timeout
24941,llegada
25041,timeout
25063,llegada
25093,llegada
25136,llegada
25158,llegada
25175,llegada
25265,llegada
25289,llegada
25324,llegada
25417,llegada
25479,llegada
25561,llegada
25590,llegada
25636,llegada
25728,llegada
25765,choque
25828,llegada
25858,llegada
25859,llegada
25899,llegada
25999,timeout
26021,llegada
26090,llegada
26116,choque
26148,llegada
26181,llegada
26191,llegada
26203,llegada
26303,timeout
26363,llegada
26443,llegada
26527,llegada
26575,llegada
26657,llegada
26671,llegada
26771,timeout
26790,llegada
26837,llegada
26878,llegada
26907,llegada
26956,llegada
26961,llegada
27044,llegada
27130,llegada
27177,llegada
27233,llegada
27271,llegada
27295,llegada
27321,llegada
27369,llegada
27403,llegada
27421,llegada
27436,llegada
27496,llegada
27594,llegada
27606,choque
27630,llegada
27650,llegada
27749,llegada
27777,llegada
27797,llegada
27810,llegada
27899,choque
27943,llegada
28043,timeout
28066,choque
28120,choque
28162,llegada
28262,timeout
28281,llegada
28316,llegada
28377,llegada
28442,llegada
28486,llegada
28521,llegada
28531,llegada
28545,llegada
28552,llegada
28604,llegada
28632,llegada
28732,timeout
28796,llegada
28829,llegada
28854,llegada
28902,llegada
28968,llegada
29001,llegada
29070,llegada
29099,llegada
29129,llegada
29161,llegada
29172,llegada
29193,llegada
29293,timeout
29315,llegada
29415,llegada
29441,llegada
29477,llegada
29546,llegada
29567,llegada
29599,llegada
29699,timeout
29731,llegada
29766,llegada
29853,llegada
29890,llegada
29990,timeout
30034,choque
30097,llegada
30102,llegada
30182,llegada
30196,llegada
30243,llegada
30285,llegada
30287,llegada
30293,llegada
30345,llegada
30427,llegada
30485,llegada
30558,choque
30587,llegada
30624,llegada
30646,llegada
30654,llegada
30691,llegada
30728,llegada
30802,llegada
30902,timeout
30952,llegada
30967,llegada
30996,llegada
31070,llegada
31082,llegada
31101,llegada
31112,llegada
31153,llegada
31194,llegada
31216,llegada
31258,llegada
31312,llegada
31384,llegada
31448,llegada
31475,llegada
31498,llegada
31586,llegada
31593,llegada
31693,timeout
31733,llegada
31777,llegada
31877,timeout
31906,llegada
31960,llegada
32060,timeout
32095,llegada
32159,llegada
32204,llegada
32304,timeout
32328,llegada
32388,llegada
32429,llegada
32479,llegada
32495,llegada
32538,llegada
32582,llegada
32649,llegada
32686,llegada
32726,llegada
32793,llegada
32859,llegada
32867,llegada
32906,llegada
32924,llegada
32977,llegada
33055,llegada
33128,llegada
33228,timeout
33254,llegada
33264,llegada
33322,llegada
33369,llegada
33429,llegada
33461,llegada
33481,llegada
33547,llegada
33580,llegada
33599,llegada
33650,llegada
33673,llegada
33706,llegada
33713,llegada
33758,llegada
33813,llegada
33857,llegada
33912,llegada
33950,llegada
33989,llegada
34086,llegada
34100,llegada
34162,llegada
34216,llegada
34265,llegada
34331,llegada
34362,llegada
34378,llegada
34394,llegada
34473,llegada
34499,llegada
34568,llegada
34591,llegada
34604,llegada
34640,choque
34720,llegada
34774,llegada
34836,llegada
34870,llegada
34896,llegada
34952,llegada
34969,llegada
35013,llegada
35071,llegada
35153,choque
35228,llegada
35253,llegada
35289,llegada
35347,llegada
35368,llegada
35468,timeout
35545,llegada
35609,llegada
35681,llegada
35748,llegada
35787,choque
35861,llegada
35891,llegada
35924,llegada
35948,llegada
35968,llegada
36013,llegada
36055,llegada
36084,llegada
36157,llegada
36248,llegada
36285,choque
36326,llegada
36399,llegada
36440,llegada
36496,llegada
36514,llegada
36562,llegada
36599,llegada
36661,llegada
36695,llegada
36795,timeout
36830,llegada
36884,llegada
36885,llegada
36922,llegada
36963,llegada
37048,llegada
37100,llegada
37120,llegada
37135,llegada
37165,llegada
37177,llegada
37246,llegada
37320,llegada
37378,llegada
37418,llegada
37442,llegada
37457,choque
37519,llegada
37568,llegada
37627,llegada
37665,llegada
37691,llegada
37726,llegada
37772,llegada
37774,llegada
37830,llegada
37863,llegada
37939,llegada
37985,llegada
38014,llegada
38073,llegada
38138,llegada
38188,llegada
38220,llegada
38249,llegada
38313,llegada
38332,llegada
38367,llegada
38386,llegada
38408,llegada
38452,llegada
38526,llegada
38575,llegada
38601,llegada
38670,llegada
38685,llegada
38722,llegada
38773,llegada
38834,llegada
38847,llegada
38910,llegada
38933,llegada
38974,llegada
39038,llegada
39050,choque
39137,llegada
39195,llegada
39240,llegada
39277,llegada
39338,llegada
39378,llegada
39410,llegada
39440,llegada
39458,llegada
39506,llegada
39541,llegada
39638,llegada
39705,llegada
39758,llegada
39795,llegada
39855,llegada
39926,llegada
39945,llegada
39964,llegada
39982,llegada
40015,llegada
40049,llegada
40095,llegada
40170,llegada
40206,llegada
40226,llegada
40244,llegada
40344,timeout
40368,llegada
40411,llegada
40424,choque
40454,llegada
40513,llegada
40564,llegada
40576,llegada
40676,timeout
40718,llegada
40763,llegada
40779,llegada
40859,llegada
40891,llegada
40924,llegada
40979,llegada
41005,llegada
41029,llegada
41073,llegada
41158,llegada
41182,llegada
41199,llegada
41277,llegada
41333,llegada
41343,llegada
41357,llegada
41377,llegada
41413,llegada
41438,choque
41479,llegada
41510,llegada
41534,llegada
41581,llegada
41614,llegada
41654,llegada
41686,llegada
41711,llegada
41782,llegada
41804,llegada
41835,llegada
41885,llegada
41970,llegada
42010,llegada
42031,choque
42037,llegada
42099,llegada
42130,llegada
42143,choque
42180,llegada
42195,llegada
42264,llegada
42344,llegada
42371,llegada
42382,choque
42412,llegada
42463,llegada
42563,llegada
42572,llegada
42619,llegada
42638,llegada
42721,llegada
42729,llegada
42778,llegada
42823,llegada
42878,llegada
42931,llegada
43018,llegada
43059,llegada
43074,llegada
43133,llegada
43164,llegada
43168,llegada
43202,llegada
43212,llegada
43248,llegada
43298,llegada
43308,llegada
43340,llegada
43355,llegada
43382,llegada
43422,llegada
43449,llegada
43473,llegada
43486,llegada
43549,llegada
43574,llegada
43608,llegada
43635,llegada
43652,llegada
43665,llegada
43711,llegada
43756,llegada
43778,choque
43845,llegada
43905,llegada
43941,llegada
43949,llegada
43987,llegada
44040,llegada
44049,llegada
44068,llegada
44111,llegada
44131,llegada
44142,llegada
44161,llegada
44174,llegada
44235,llegada
44249,llegada
44300,llegada
44317,llegada
44346,llegada
44394,llegada
44482,llegada
44517,llegada
44528,llegada
44545,choque
44589,llegada
44617,llegada
44636,llegada
44669,llegada
44692,llegada
44736,llegada
44819,llegada
44869,llegada
44899,choque
44943,llegada
44961,llegada
45038,llegada
45068,llegada
45087,choque
45128,llegada
45161,llegada
45181,llegada
45228,llegada
45233,llegada
45253,llegada
45291,llegada
45367,llegada
45388,llegada
45399,llegada
45416,llegada
45433,llegada
45481,llegada
45543,llegada
45603,llegada
45673,llegada
45722,llegada
45744,llegada
45832,llegada
45861,llegada
45894,llegada
45948,llegada
45997,llegada
46009,llegada
46037,llegada
46091,llegada
46122,llegada
46169,llegada
46205,llegada
46230,llegada
46268,llegada
46277,llegada
46334,llegada
46383,llegada
46404,llegada
46428,choque
46463,llegada
46499,llegada
46535,llegada
46564,llegada
46591,llegada
46614,llegada
46632,llegada
46657,llegada
46666,choque
46755,llegada
46823,llegada
46833,llegada
46895,llegada
46919,llegada
46929,llegada
46968,choque
46990,llegada
47035,llegada
47077,llegada
47120,llegada
47185,llegada
47244,llegada
47246,llegada
47274,llegada
47297,llegada
47309,llegada
47335,llegada
47349,llegada
47386,llegada
47410,llegada
47436,llegada
47495,llegada
47561,llegada
47581,llegada
47597,llegada
47639,llegada
47678,llegada
47705,llegada
47785,llegada
47797,llegada
47888,llegada
47946,llegada
47962,llegada
48040,llegada
48043,llegada
48088,llegada
48123,llegada
48185,llegada
48201,llegada
48251,llegada
48310,llegada
48336,llegada
48360,llegada
48392,llegada
48421,llegada
48463,llegada
48518,llegada
48524,llegada
48576,llegada
48601,llegada
48650,llegada
48672,llegada
48683,llegada
48696,llegada
48703,choque
48747,llegada
48783,llegada
48806,llegada
48835,llegada
48836,llegada
48889,llegada
48942,llegada
48971,llegada
48989,llegada
49044,llegada
49084,llegada
49111,llegada
49169,llegada
49202,llegada
49259,llegada
49295,llegada
49329,llegada
49370,llegada
49393,llegada
49421,llegada
49466,llegada
49474,llegada
49522,llegada
49573,llegada
49583,llegada
49620,llegada
49660,llegada
49712,llegada
49762,llegada
49802,llegada
49825,llegada
49869,llegada
49925,llegada
49961,llegada
50010,llegada
50015,llegada
50055,llegada
50096,llegada
50123,llegada
50143,llegada
50164,llegada
50203,llegada
50225,llegada
50248,llegada
50310,llegada
50354,llegada
50394,llegada
50415,llegada
50472,llegada
50487,llegada
50568,llegada
50635,llegada
50700,llegada
50719,llegada
50735,llegada
50774,llegada
50798,llegada
50819,llegada
50859,llegada
50876,llegada
50899,llegada
50932,llegada
50981,llegada
51020,llegada
51055,llegada
51087,llegada
51100,llegada
51115,llegada
51141,llegada
51150,llegada
51202,llegada
51243,llegada
51261,llegada
51311,llegada
51349,llegada
51351,llegada
51384,llegada
51399,llegada
51446,llegada
51494,llegada
51516,llegada
51535,llegada
51570,llegada
51586,llegada
51614,llegada
51625,llegada
51634,llegada
51645,llegada
51697,llegada
51758,llegada
51822,llegada
51845,llegada
51903,llegada
51922,llegada
51933,llegada
51960,llegada
51984,llegada
52050,llegada
52071,llegada
52088,llegada
52106,llegada
52152,llegada
52196,llegada
52231,llegada
52248,llegada
52278,llegada
52290,llegada
52333,llegada
52406,llegada
52442,llegada
52489,llegada
52499,llegada
52505,choque
52520,llegada
52552,llegada
52580,llegada
52657,llegada
52676,llegada
52678,llegada
52739,llegada
52754,llegada
52765,llegada
52783,llegada
52851,llegada
52902,llegada
52947,llegada
52983,llegada
52996,llegada
53025,llegada
53066,llegada
53098,llegada
53159,llegada
53174,llegada
53216,llegada
53267,llegada
53302,llegada
53326,llegada
53345,llegada
53364,llegada
53392,llegada
53393,llegada
53419,llegada
53469,llegada
53540,llegada
53588,llegada
53618,llegada
53622,llegada
53654,llegada
53672,llegada
53728,llegada
53768,llegada
53799,llegada
53834,llegada
53874,llegada
53877,llegada
53900,llegada
53948,llegada
53975,llegada
54008,llegada
54041,llegada
54099,llegada
54199,timeout
54232,llegada
54280,llegada
54295,llegada
54357,llegada
54379,llegada
54417,llegada
54439,llegada
54463,llegada
54498,llegada
54530,llegada
54578,llegada
54600,llegada
54619,llegada
54632,llegada
54665,llegada
54705,llegada
54727,llegada
54734,choque
54766,choque
54811,llegada
54867,llegada
54884,llegada
54942,llegada
54985,llegada
55021,llegada
55052,llegada
55094,llegada
55113,llegada
55125,llegada
55140,llegada
55167,llegada
55187,llegada
55227,llegada
55248,llegada
55317,llegada
55353,choque
55409,llegada
55441,llegada
55501,llegada
55546,llegada
55589,llegada
55605,llegada
55630,llegada
55687,llegada
55700,llegada
55711,llegada
55746,llegada
55794,llegada
55866,llegada
55906,llegada
55920,llegada
55945,llegada
55981,llegada
56012,llegada
56069,llegada
56081,llegada
56094,llegada
56139,llegada
56189,llegada
56237,llegada
56284,llegada
56299,llegada
56390,llegada
56424,llegada
56456,llegada
56465,llegada
56498,llegada
56532,llegada
56570,llegada
56576,choque
56616,choque
56690,llegada
56732,llegada
56751,llegada
56788,llegada
56814,llegada
56854,llegada
56859,llegada
56867,choque
56921,llegada
56951,llegada
56991,choque
57037,llegada
57068,llegada
57115,llegada
57135,llegada
57138,llegada
57190,llegada
57209,llegada
57215,llegada
57278,llegada
57295,choque
57375,llegada
57390,llegada
57443,llegada
57480,llegada
57507,llegada
57514,llegada
57537,llegada
57561,llegada
57577,llegada
57627,llegada
57660,llegada
57694,llegada
57698,llegada
57732,choque
57763,llegada
57774,llegada
57805,llegada
57848,llegada
57872,llegada
57932,llegada
57961,llegada
57995,llegada
58066,llegada
58077,llegada
58102,llegada
58133,llegada
58150,llegada
58184,llegada
58192,llegada
58239,llegada
58269,llegada
58297,llegada
58366,llegada
58375,llegada
58427,llegada
58447,choque
58478,llegada
58532,llegada
58588,llegada
58677,llegada
58688,llegada
58750,llegada
58794,llegada
58827,llegada
58835,llegada
58839,llegada
58874,llegada
58937,llegada
58979,llegada
59039,llegada
59092,llegada
59111,llegada
59123,llegada
59168,llegada
59186,llegada
59228,choque
59264,llegada
59290,llegada
59314,llegada
59350,llegada
59372,llegada
59373,llegada
59387,llegada
59390,llegada
59415,llegada
59434,llegada
59479,llegada
59531,llegada
59547,llegada
59568,llegada
59592,llegada
59627,llegada
59668,llegada
59686,llegada
59715,llegada
59760,llegada
59768,llegada
59810,llegada
59855,llegada
59882,llegada
59910,llegada
59938,llegada
59977,llegada
59992,llegada
60019,llegada
60040,choque
60061,llegada
60086,llegada
60101,llegada
60112,llegada
60140,llegada
60171,llegada
60199,llegada
60243,llegada
60291,choque
60303,llegada
60365,llegada
60390,llegada
60424,llegada
60481,llegada
60512,llegada
60549,llegada
60598,llegada
60623,llegada
60679,llegada
60717,llegada
60725,choque
60741,llegada
60811,llegada
60818,llegada
60860,llegada
60891,choque
60911,llegada
60952,llegada
60967,llegada
60994,llegada
61032,llegada
61045,llegada
61074,llegada
61087,llegada
61096,llegada
61135,llegada
61154,llegada
61176,llegada
61204,llegada
61234,llegada
61264,llegada
61286,llegada
61290,llegada
61313,llegada
61334,llegada
61359,choque
61418,llegada
61452,llegada
61465,llegada
61504,llegada
61540,llegada
61550,llegada
61570,llegada
61585,llegada
61645,llegada
61660,llegada
61713,llegada
61732,llegada
61753,llegada
61780,llegada
61801,llegada
61835,llegada
61866,llegada
61885,llegada
61935,llegada
61946,llegada
61955,llegada
61993,choque
62001,choque
62035,llegada
62086,llegada
62105,llegada
62121,llegada
62125,llegada
62147,llegada
62165,llegada
62192,llegada
62251,llegada
62291,llegada
62329,llegada
62336,llegada
62363,llegada
62382,llegada
62403,llegada
62417,llegada
62439,llegada
62467,llegada
62529,llegada
62553,llegada
62595,llegada
62649,llegada
62664,llegada
62689,choque
62715,llegada
62720,llegada
62753,llegada
62780,llegada
62793,llegada
62818,llegada
62878,llegada
62906,choque
62937,llegada
62939,choque
62943,llegada
62987,llegada
63022,llegada
63071,llegada
63085,llegada
63101,llegada
63124,llegada
63143,llegada
63167,llegada
63191,choque
63245,llegada
63276,llegada
63312,llegada
63330,llegada
63351,llegada
63383,llegada
63408,llegada
63472,llegada
63492,llegada
63538,llegada
63545,llegada
63554,llegada
63577,llegada
63641,llegada
63661,llegada
63692,llegada
63709,llegada
63761,llegada
63771,llegada
63834,llegada
63866,llegada
63914,llegada
63939,llegada
64009,llegada
64037,llegada
64045,llegada
64088,llegada
64108,llegada
64144,llegada
64178,llegada
64202,llegada
64235,llegada
64253,llegada
64275,llegada
64315,llegada
64365,llegada
64384,llegada
64412,llegada
64422,llegada
64457,llegada
64500,llegada
64550,llegada
64579,llegada
64614,llegada
64632,llegada
64671,llegada
64696,llegada
64733,llegada
64745,llegada
64789,llegada
64835,llegada
64846,llegada
64867,llegada
64919,llegada
64945,llegada
65042,llegada
65071,llegada
65083,llegada
65101,llegada
65140,llegada
65179,llegada
65225,llegada
65233,llegada
65270,llegada
65288,llegada
65348,llegada
65381,llegada
65406,llegada
65420,llegada
65436,llegada
65481,llegada
65513,llegada
65547,llegada
65582,llegada
65641,llegada
65653,llegada
65674,llegada
65702,llegada
65782,llegada
65811,llegada
65827,llegada
65881,llegada
65894,llegada
65930,llegada
65946,llegada
65974,llegada
66006,llegada
66067,llegada
66078,llegada
66119,llegada
66152,llegada
66204,llegada
66243,llegada
66275,llegada
66330,llegada
66361,llegada
66381,llegada
66403,llegada
66444,llegada
66466,llegada
66472,llegada
66501,llegada
66534,choque
66541,llegada
66566,llegada
66609,llegada
66629,llegada
66663,llegada
66678,llegada
66716,llegada
66766,llegada
66803,llegada
66832,llegada
66915,llegada
66922,llegada
66955,llegada
66992,llegada
67009,llegada
67055,llegada
67063,choque
67090,llegada
67135,llegada
67163,choque
67187,llegada
67224,llegada
67266,llegada
67274,llegada
67309,llegada
67372,choque
67389,llegada
67424,llegada
67448,llegada
67465,llegada
67479,llegada
67494,llegada
67520,llegada
67580,llegada
67612,llegada
67643,llegada
67668,llegada
67701,llegada
67751,llegada
67780,llegada
67820,llegada
67846,llegada
67870,llegada
67910,llegada
67952,llegada
67986,llegada
68013,llegada
68036,llegada
68079,llegada
68104,llegada
68126,llegada
68158,llegada
68173,llegada
68235,llegada
68265,llegada
68286,llegada
68350,llegada
68357,llegada
68373,llegada
68393,llegada
68427,llegada
68462,llegada
68524,llegada
68559,llegada
68589,llegada
68621,llegada
68665,llegada
68691,llegada
68716,llegada
68730,llegada
68767,llegada
68774,llegada
68793,llegada
68832,llegada
68858,llegada
68885,llegada
68920,llegada
68930,llegada
68943,llegada
68952,llegada
68974,llegada
68996,llegada
69027,llegada
69067,llegada
69104,llegada
69138,llegada
69156,llegada
69209,llegada
69235,llegada
69262,llegada
69301,llegada
69308,llegada
69363,llegada
69398,llegada
69438,llegada
69479,llegada
69497,llegada
69551,llegada
69566,llegada
69601,llegada
69649,llegada
69672,llegada
69682,llegada
69691,llegada
69748,llegada
69790,llegada
69797,llegada
69811,llegada
69846,llegada
69897,llegada
69924,llegada
69929,llegada
69963,llegada
70015,llegada
70051,llegada
70096,llegada
70133,llegada
70161,llegada
70220,llegada
70268,llegada
70312,llegada
70360,llegada
70381,llegada
70408,llegada
70441,llegada
70449,llegada
70500,llegada
70540,llegada
70583,llegada
70611,llegada
70651,llegada
70668,llegada
70711,llegada
70747,llegada
70761,llegada
70777,llegada
70808,llegada
70838,llegada
70865,llegada
70898,llegada
70909,llegada
70944,llegada
70958,llegada
70980,llegada
71006,llegada
71044,llegada
71068,llegada
71108,llegada
71135,llegada
71150,llegada
71163,llegada
71197,llegada
71211,llegada
71275,llegada
