episode,resultado
53190,llegada
53230,llegada
53316,llegada
53426,llegada
53567,llegada
53615,llegada
53714,llegada
53722,llegada
53769,llegada
53842,llegada
54042,timeout
54097,llegada
54151,llegada
54207,llegada
54250,llegada
54335,llegada
54383,llegada
54431,llegada
54481,llegada
54540,llegada
54613,llegada
54767,llegada
54835,llegada
54905,llegada
54953,llegada
55041,llegada
55115,llegada
55206,llegada
55351,llegada
55423,llegada
55524,llegada
55590,llegada
55617,llegada
55695,choque
55771,llegada
55816,llegada
55993,choque
56027,llegada
56056,choque
56081,llegada
56100,llegada
56269,llegada
56301,llegada
56341,llegada
56414,llegada
56423,llegada
56463,llegada
56531,llegada
56731,timeout
56795,llegada
56985,llegada
57025,llegada
57083,llegada
57152,llegada
57197,llegada
57324,llegada
57375,llegada
57404,llegada
57493,llegada
57568,llegada
57616,llegada
57657,llegada
57721,llegada
57773,llegada
57794,llegada
57811,llegada
57840,llegada
57898,llegada
57952,llegada
58014,llegada
58046,llegada
58150,llegada
58192,llegada
58272,llegada
58336,llegada
58411,llegada
58440,llegada
58529,llegada
58580,llegada
58780,timeout
58864,llegada
58880,choque
58921,llegada
58995,llegada
59068,llegada
59231,llegada
59269,llegada
59301,llegada
59311,llegada
59341,llegada
59493,llegada
59531,llegada
59596,llegada
59660,llegada
59860,timeout
60060,timeout
60077,llegada
60110,llegada
60207,llegada
60280,llegada
60367,llegada
60432,llegada
60517,llegada
60717,timeout
60750,llegada
60802,llegada
60856,llegada
60908,choque
60957,llegada
61000,choque
61048,llegada
61144,llegada
61187,llegada
61221,llegada
61277,choque
61407,llegada
61436,llegada
61520,llegada
61621,llegada
61693,llegada
61784,llegada
61880,llegada
61902,llegada
61994,llegada
62042,llegada
62056,choque
62094,llegada
62130,llegada
62169,llegada
62261,llegada
62295,choque
62308,choque
62323,llegada
62379,llegada
62462,llegada
62537,llegada
62677,llegada
62721,llegada
62822,llegada
62885,llegada
62990,llegada
63108,llegada
63179,choque
63262,llegada
63325,llegada
63340,llegada
63408,llegada
63474,llegada
63538,llegada
63625,llegada
63673,llegada
63701,llegada
63705,llegada
63758,llegada
63837,llegada
63862,choque
63971,llegada
64032,llegada
64096,choque
64135,llegada
64136,llegada
64313,choque
64350,llegada
64391,llegada
64429,llegada
64560,llegada
64654,llegada
64767,llegada
64799,llegada
64833,llegada
64889,llegada
64995,llegada
65050,llegada
65250,timeout
65303,llegada
65361,llegada
65438,llegada
65465,llegada
65520,llegada
65648,llegada
65718,llegada
65754,llegada
65821,llegada
65838,choque
65921,llegada
65941,llegada
65996,llegada
66009,choque
66056,llegada
66191,llegada
66233,llegada
66267,llegada
66275,llegada
66368,llegada
66392,llegada
66432,llegada
66482,llegada
66513,llegada
66558,llegada
66610,llegada
66637,choque
66638,llegada
66698,llegada
66719,llegada
66798,llegada
66823,llegada
66956,llegada
67028,llegada
67056,llegada
67111,llegada
67222,llegada
67285,llegada
67320,llegada
67346,llegada
67418,llegada
67560,llegada
67689,llegada
67751,llegada
67802,llegada
67867,llegada
67912,llegada
67918,llegada
67983,llegada
68103,llegada
68128,llegada
68215,llegada
68258,llegada
68306,llegada
68389,llegada
68511,llegada
68625,llegada
68763,llegada
68810,llegada
68847,llegada
68935,llegada
68993,llegada
69081,llegada
69165,llegada
69229,llegada
69291,llegada
69347,llegada
69368,llegada
69439,llegada
69469,llegada
69478,llegada
69540,llegada
69572,llegada
69658,llegada
69754,llegada
69829,llegada
69877,llegada
69917,llegada
69961,llegada
70099,llegada
70137,llegada
70229,llegada
70279,llegada
70360,llegada
70479,llegada
70513,llegada
70537,llegada
70569,llegada
70618,llegada
70732,llegada
70797,llegada
70830,llegada
70878,llegada
70925,llegada
70966,llegada
71020,choque
71041,choque
71241,timeout
71290,llegada
71373,llegada
71400,llegada
71451,llegada
71486,llegada
71597,llegada
71625,llegada
71638,choque
71686,llegada
71772,llegada
71802,choque
71839,llegada
71944,llegada
72025,llegada
72097,llegada
72183,llegada
