#{"t_start": 1749235010.7001002, "env_id": "None"}
r,l,t
0.0,75,166.22901
0.0,75,167.19289
0.0,75,168.144401
0.0,75,169.182678
0.0,75,170.156151
0.0,75,322.745934
0.0,75,323.804086
100.0,25,324.129026
0.0,75,325.0912
0.0,75,326.042089
100.0,48,484.553627
0.0,75,485.789343
100.0,17,486.017369
0.0,75,486.989511
100.0,4,487.044511
100.0,3,643.780153
100.0,14,643.963181
100.0,5,644.036257
100.0,25,644.449314
100.0,5,644.532831
0.0,75,806.709222
0.0,75,807.96863
100.0,6,808.085153
100.0,4,808.169665
0.0,75,809.524485
100.0,5,973.680064
0.0,75,974.940192
100.0,15,975.226407
100.0,18,975.587789
100.0,15,975.849693
100.0,18,1142.864258
100.0,7,1142.957768
0.0,75,1144.201954
0.0,75,1145.339672
100.0,10,1145.53071
0.0,75,1315.323594
100.0,3,1315.386108
100.0,31,1315.958692
100.0,5,1316.065205
0.0,75,1317.280135
100.0,8,1485.638463
100.0,15,1485.890063
100.0,11,1486.104094
100.0,10,1486.296122
100.0,8,1486.46415
100.0,6,1661.280711
100.0,11,1661.482745
0.0,75,1662.811496
100.0,15,1663.126048
0.0,75,1664.455318
100.0,7,1840.766621
100.0,27,1841.202844
100.0,12,1841.398872
100.0,9,1841.547387
100.0,8,1841.686414
0.0,75,2021.338919
100.0,10,2021.516397
100.0,8,2021.66238
0.0,75,2022.984345
100.0,12,2023.205371
100.0,9,2203.34487
100.0,5,2203.414389
100.0,15,2203.611965
100.0,37,2204.164579
100.0,4,2204.259103
100.0,12,2387.578245
100.0,7,2387.676756
100.0,7,2387.773284
100.0,17,2388.051844
100.0,9,2388.247892
100.0,10,2574.466525
100.0,4,2574.525584
100.0,9,2574.647504
100.0,4,2574.704048
0.0,75,2575.706388
75,55.620007
-100.0,52,56.376187
0.0,75,57.444773
-100.0,32,57.908564
0.0,75,59.015139
-100.0,21,59.367243
0.0,75,60.579926
0.0,75,61.797788
-100.0,23,62.159829
-100.0,29,62.581136
0.0,75,63.655738
-100.0,5,63.734853
0.0,75,64.803679
-100.0,45,65.450667
-100.0,57,66.268727
0.0,75,67.351476
0.0,75,68.425796
-100.0,26,68.807443
-100.0,45,69.472082
100.0,43,70.086964
-100.0,22,70.409152
-100.0,10,70.557383
-100.0,51,71.296061
0.0,75,72.372547
0.0,75,74.613376
0.0,75,75.697875
100.0,71,76.726014
0.0,75,77.799422
100.0,9,77.933567
-100.0,2,77.968622
0.0,75,79.044353
0.0,75,80.114027
0.0,75,81.203554
100.0,45,81.848132
-100.0,2,81.882749
0.0,75,83.042719
0.0,75,84.243972
0.0,75,85.461971
0.0,75,86.600359
0.0,75,87.681032
0.0,75,88.759981
0.0,75,89.829662
0.0,75,90.897698
-100.0,25,91.257921
0.0,75,92.328221
-100.0,11,92.491932
0.0,75,93.583837
0.0,75,94.701398
0.0,75,95.820415
0.0,75,96.909901
0.0,75,98.010387
0.0,75,99.140633
0.0,75,100.305496
0.0,75,101.446056
0.0,75,102.580841
0.0,75,103.684344
100.0,23,105.292276
0.0,75,106.650358
0.0,75,107.981615
0.0,75,109.165178
0.0,75,110.305347
0.0,75,111.407754
0.0,75,112.496794
0.0,75,113.607933
100.0,45,114.283195
0.0,75,115.380611
0.0,75,116.477384
0.0,75,117.609571
0.0,75,118.688108
0.0,75,119.788635
-100.0,12,119.973719
0.0,75,121.076768
0.0,75,122.157197
0.0,75,123.320201
0.0,75,124.443754
0.0,75,125.604916
0.0,75,126.888832
0.0,75,128.172107
0.0,75,129.389775
0.0,75,130.59641
100.0,33,131.145829
0.0,75,132.359374
0.0,75,133.513129
0.0,75,134.655332
100.0,47,135.366441
0.0,75,136.484793
0.0,75,138.796947
0.0,75,139.946692
0.0,75,141.029113
0.0,75,142.111924
0.0,75,143.198002
-100.0,17,143.457298
0.0,75,144.556867
0.0,75,145.648335
0.0,75,146.733282
0.0,75,147.856705
100.0,43,148.489833
0.0,75,149.608518
0.0,75,150.88959
0.0,75,152.197738
0.0,75,153.368635
0.0,75,154.513762
0.0,75,155.636014
0.0,75,156.882689
-100.0,61,157.727975
100.0,64,158.626284
100.0,23,158.952682
0.0,75,160.001004
100.0,15,160.214577
0.0,75,161.293401
0.0,75,162.382319
0.0,75,163.557795
100.0,61,164.404505
0.0,75,170.609668
0.0,75,171.706574
0.0,75,172.815403
0.0,75,174.950943
100.0,34,175.435537
0.0,75,176.615916
0.0,75,177.722587
0.0,75,178.781787
0.0,75,179.876459
0.0,75,180.97329
0.0,75,182.012595
0.0,75,183.079204
0.0,75,184.11786
0.0,75,185.35236
100.0,16,185.578388
0.0,75,186.606043
0.0,75,187.632049
0.0,75,188.748531
100.0,47,189.428132
0.0,75,190.463405
0.0,75,191.597223
100.0,16,191.821763
0.0,75,193.002935
100.0,38,193.558506
100.0,26,193.937562
100.0,24,194.296112
100.0,70,195.356768
0.0,75,196.439119
0.0,75,197.471909
0.0,75,198.518848
0.0,75,199.554008
0.0,75,200.606547
0.0,75,201.646852
0.0,75,202.688618
0.0,75,203.803495
100.0,74,205.968489
100.0,48,206.696064
0.0,75,207.849289
0.0,75,209.031505
0.0,75,210.142207
0.0,75,211.216927
0.0,75,212.376754
100.0,51,213.089058
0.0,75,214.129771
0.0,75,215.174952
0.0,75,216.206648
0.0,75,217.265326
100.0,1,217.284326
0.0,75,218.314501
0.0,75,219.353209
100.0,35,219.831801
0.0,75,220.878978
0.0,75,221.948671
0.0,75,222.987849
0.0,75,224.030538
0.0,75,225.061718
100.0,11,225.220758
100.0,38,225.76236
0.0,75,226.809638
0.0,75,227.856381
0.0,75,228.8891
100.0,35,229.376673
0.0,75,230.410113
0.0,75,231.458952
0.0,75,232.493212
0.0,75,233.680219
0.0,75,235.793432
100.0,40,236.525927
100.0,28,236.978989
0.0,75,238.099159
0.0,75,239.185342
0.0,75,240.219953
-100.0,58,241.016064
100.0,31,241.457124
100.0,49,242.134732
0.0,75,243.183823
100.0,14,243.384852
0.0,75,244.422511
0.0,75,245.446812
0.0,75,246.526118
100.0,73,247.561909
100.0,44,248.307061
0.0,75,249.447226
100.0,25,249.803586
100.0,67,250.766282
0.0,75,251.854623
100.0,59,252.699767
100.0,33,253.182352
100.0,34,253.688941
0.0,75,254.780646
100.0,18,255.039198
0.0,75,256.111091
100.0,15,256.339683
100.0,43,256.967778
0.0,75,258.044496
0.0,75,259.129722
100.0,42,259.85834
0.0,75,260.996164
0.0,75,262.114145
0.0,75,263.280735
100.0,29,263.724787
0.0,75,264.787895
0.0,75,266.933129
100.0,45,267.642356
100.0,9,267.779837
0.0,75,268.884805
100.0,48,269.735859
0.0,75,270.805891
100.0,65,271.850096
0.0,75,272.930659
0.0,75,274.002722
100.0,43,274.619298
100.0,24,274.969841
0.0,75,276.04135
100.0,67,277.010643
0.0,75,278.190717
100.0,51,278.919325
100.0,50,279.663194
0.0,75,280.725492
0.0,75,281.974957
100.0,45,282.62655
0.0,75,283.68731
-100.0,31,284.142878
0.0,75,285.216467
100.0,58,286.050273
0.0,75,287.127929
100.0,72,288.185869
0.0,75,289.364861
0.0,75,290.449216
0.0,75,291.508903
100.0,64,292.436254
100.0,61,293.302008
100.0,48,293.986771
-100.0,23,294.319259
0.0,75,295.385436
0.0,75,296.446736
-100.0,57,298.361372
0.0,75,299.433572
100.0,44,300.160953
0.0,75,301.285247
0.0,75,302.347359
100.0,29,302.788424
100.0,58,303.792249
0.0,75,304.861533
100.0,32,305.326104
0.0,75,306.404209
0.0,75,307.47587
100.0,18,307.750072
100.0,27,308.135132
100.0,50,308.863973
-100.0,31,309.358546
0.0,75,310.54611
100.0,57,311.362541
100.0,57,312.195661
0.0,75,313.352357
100.0,24,313.7049
0.0,75,314.775981
100.0,2,314.809981
0.0,75,315.886633
0.0,75,317.070399
100.0,71,318.18907
0.0,75,319.349248
100.0,64,320.374402
0.0,75,321.516637
0.0,75,327.075538
100.0,28,327.481537
0.0,75,328.585653
0.0,75,329.649332
-100.0,50,330.538975
100.0,53,331.36468
100.0,26,331.78876
0.0,75,333.08251
100.0,7,333.238544
100.0,24,334.695031
-100.0,24,335.087877
0.0,75,336.277702
100.0,74,337.401603
100.0,68,338.450329
0.0,75,339.581706
0.0,75,340.64297
0.0,75,341.834731
0.0,75,342.932765
0.0,75,344.00703
0.0,75,345.072326
0.0,75,346.147878
0.0,75,347.335099
100.0,33,347.844707
0.0,75,349.063947
100.0,45,349.707052
100.0,13,349.89409
0.0,75,350.96379
-100.0,4,351.030796
0.0,75,352.087496
100.0,36,352.606876
100.0,62,353.480061
0.0,75,354.643669
0.0,75,355.758999
0.0,75,356.906463
0.0,75,358.047792
0.0,75,359.283777
0.0,75,360.351707
0.0,75,361.597382
100.0,10,361.74341
-100.0,68,362.737631
100.0,56,363.54349
100.0,7,363.647006
100.0,27,364.042017
100.0,18,364.295047
100.0,28,364.705961
0.0,75,366.83979
0.0,75,367.942957
100.0,35,368.445553
100.0,59,369.31166
100.0,66,370.249791
100.0,24,370.59133
100.0,25,371.02139
100.0,22,371.365451
0.0,75,372.442113
0.0,75,374.757218
100.0,16,375.057756
100.0,71,376.100763
100.0,6,376.190275
0.0,75,377.251763
100.0,71,378.275509
0.0,75,379.335661
100.0,9,379.472538
0.0,75,380.54671
100.0,67,381.495223
100.0,36,382.144901
100.0,75,383.259783
100.0,68,384.235284
100.0,25,384.611307
100.0,41,385.189982
100.0,47,385.868853
-100.0,37,386.400043
100.0,31,386.881372
100.0,42,387.522565
100.0,49,388.276972
0.0,75,389.453014
0.0,75,390.634652
100.0,9,390.775676
100.0,34,391.262246
0.0,75,392.3324
0.0,75,393.3906
100.0,71,394.401625
100.0,44,395.159748
100.0,24,395.568798
-100.0,5,395.646803
0.0,75,396.718527
100.0,72,397.75121
0.0,75,400.341602
0.0,75,401.682289
100.0,25,402.075757
-100.0,72,403.286868
100.0,43,403.997049
0.0,75,405.383865
100.0,51,406.312272
100.0,38,406.981764
-100.0,33,407.569009
100.0,37,408.174666
100.0,1,408.194666
100.0,27,408.596348
100.0,58,409.436625
100.0,28,409.871316
100.0,8,409.996834
100.0,36,410.555056
100.0,13,410.756189
-100.0,47,411.543593
100.0,75,412.916844
100.0,73,414.165447
0.0,75,415.262587
100.0,46,415.928517
100.0,13,416.121478
-100.0,42,416.816604
0.0,75,417.929209
0.0,75,418.999989
100.0,66,419.977164
100.0,18,420.233194
100.0,4,420.29471
100.0,21,420.607252
-100.0,28,421.010314
100.0,5,421.084832
100.0,73,422.132994
-100.0,45,422.816585
100.0,51,423.623973
100.0,39,424.200597
100.0,29,424.615649
100.0,65,425.553818
-100.0,40,426.140456
-100.0,34,426.630026
0.0,75,427.697286
100.0,2,427.741287
-100.0,58,428.569916
100.0,46,429.331513
100.0,38,429.927603
-100.0,7,430.035114
100.0,41,430.63448
100.0,42,431.247779
100.0,15,431.463324
100.0,37,433.096571
100.0,5,433.174092
100.0,11,433.334605
0.0,75,434.585722
100.0,22,434.909271
-100.0,7,435.020795
-100.0,45,435.791616
0.0,75,436.872305
100.0,16,437.103341
100.0,12,437.35138
100.0,7,437.499417
0.0,75,438.645123
0.0,75,439.717804
0.0,75,440.798295
