#{"t_start": 1749575915.247434, "env_id": "None"}
r,l,t
0.0,200,149.274562
0.0,200,152.777358
0.0,200,156.159828
0.0,200,159.377494
0.0,200,162.568165
0.0,200,311.404562
0.0,200,314.824602
0.0,200,318.101663
0.0,200,321.410721
0.0,200,324.729342
0.0,200,481.539525
0.0,200,484.902349
0.0,200,488.166445
0.0,200,491.404055
0.0,200,494.63876
0.0,200,650.068118
0.0,200,653.303281
100.0,71,654.423271
0.0,200,657.556206
100.0,144,659.825236
-100.0,72,823.53053
0.0,200,826.895682
100.0,74,828.229338
0.0,200,831.584392
100.0,11,831.774035
0.0,200,1018.485622
100.0,29,1019.132915
100.0,11,1019.388736
0.0,200,1023.254476
100.0,65,1024.429617
100.0,80,1215.057124
100.0,39,1215.969738
100.0,40,1216.86913
100.0,36,1217.570479
100.0,47,1218.576768
100.0,61,1413.83653
0.0,200,1418.163556
100.0,65,1419.58111
100.0,35,1420.287927
100.0,31,1420.898221
100.0,33,1605.443398
100.0,28,1606.067021
100.0,60,1607.378089
100.0,65,1608.734017
100.0,16,1609.066201
100.0,31,1799.148422
100.0,48,1800.187973
-100.0,7,1800.340646
100.0,40,1801.210294
100.0,11,1801.45255
100.0,65,1993.457107
100.0,89,1995.41246
100.0,40,1996.204364
100.0,68,1997.366465
100.0,14,1997.614765
100.0,17,2204.857763
100.0,8,2205.031024
100.0,60,2206.120276
100.0,68,2207.352538
100.0,18,2207.681075
100.0,5,2417.881355
100.0,37,2418.689581
100.0,33,2419.362271
100.0,74,2420.965165
100.0,38,2421.911342
-100.0,44,2615.527677
100.0,26,2616.036466
100.0,76,2617.51541
100.0,13,2617.773528
100.0,54,2618.773268
100.0,27,2819.571326
100.0,46,2820.407985
100.0,18,2820.737888
100.0,1,2820.766024
100.0,20,2821.136801
4932
0.0,200,177.525836
0.0,200,180.340472
100.0,124,182.027079
0.0,200,184.724758
0.0,200,187.40563
0.0,200,190.105439
0.0,200,192.791968
100.0,194,196.794429
0.0,200,199.492028
0.0,200,202.162398
0.0,200,204.891924
0.0,200,207.56662
0.0,200,210.28692
0.0,200,213.029496
100.0,137,214.899278
0.0,200,217.608927
0.0,200,220.330247
0.0,200,223.11294
0.0,200,227.209214
0.0,200,229.914453
0.0,200,232.604056
0.0,200,235.323749
100.0,107,236.815951
100.0,121,238.475274
0.0,200,241.239753
0.0,200,244.146363
0.0,200,246.940952
-100.0,20,247.228373
0.0,200,250.026624
0.0,200,252.8538
0.0,200,257.140816
100.0,130,258.988492
0.0,200,261.825339
0.0,200,264.59251
0.0,200,267.393316
100.0,73,268.395474
0.0,200,271.184616
0.0,200,273.954857
100.0,177,276.411188
0.0,200,279.251342
100.0,122,280.987892
100.0,155,283.160716
100.0,63,284.044836
0.0,200,288.383749
0.0,200,291.289221
0.0,200,294.148792
0.0,200,297.037559
0.0,200,299.824514
0.0,200,302.590597
100.0,170,304.969535
0.0,200,307.814087
0.0,200,327.458721
0.0,200,330.300678
100.0,150,334.316048
0.0,200,337.236156
100.0,119,338.926557
100.0,79,340.091635
0.0,200,342.918776
0.0,200,345.825293
0.0,200,348.774946
100.0,54,349.56517
100.0,139,351.550377
100.0,28,351.980438
100.0,81,353.197391
0.0,200,356.104337
100.0,98,357.494819
0.0,200,360.322529
0.0,200,364.693126
100.0,95,366.061253
0.0,200,368.96859
0.0,200,371.859388
0.0,200,374.722726
100.0,62,375.608242
0.0,200,378.441673
100.0,166,380.86859
0.0,200,383.851671
100.0,87,385.204264
0.0,200,388.172611
0.0,200,391.117758
0.0,200,393.992653
0.0,200,398.396083
0.0,200,401.346756
100.0,19,401.638109
0.0,200,404.627868
0.0,200,407.570656
0.0,200,410.452359
-100.0,8,410.575259
0.0,200,413.428293
100.0,150,415.690668
100.0,28,416.115601
0.0,200,419.094479
100.0,166,421.523514
100.0,167,424.242224
100.0,104,425.778738
100.0,61,428.152277
-100.0,42,428.800215
0.0,200,431.726386
-100.0,5,431.810401
0.0,200,434.659108
0.0,200,437.567553
0.0,200,440.410128
0.0,200,443.252857
0.0,200,446.085092
0.0,200,448.949797
0.0,200,451.783327
100.0,104,453.262268
100.0,98,454.650025
0.0,200,459.014513
0.0,200,461.877139
100.0,73,462.916338
100.0,158,465.202059
0.0,200,468.038873
0.0,200,471.038698
100.0,119,472.848129
0.0,200,475.811554
0.0,200,495.377163
0.0,200,498.34119
0.0,200,501.292651
100.0,152,503.451877
100.0,58,504.279243
0.0,200,508.815997
100.0,199,511.818149
0.0,200,514.730838
100.0,99,516.124754
0.0,200,518.940908
0.0,200,521.870021
0.0,200,524.687568
0.0,200,527.535873
-100.0,7,527.64397
0.0,200,530.47758
100.0,138,532.43711
100.0,179,534.972642
100.0,141,538.579915
0.0,200,541.491594
100.0,100,542.955587
100.0,109,544.545672
0.0,200,547.531114
0.0,200,550.457315
100.0,104,551.963293
100.0,152,554.207183
100.0,63,555.153516
100.0,180,557.734432
0.0,200,560.550499
100.0,120,562.265593
100.0,136,564.187224
0.0,200,567.058892
-100.0,28,567.46259
0.0,200,571.71816
100.0,71,572.765945
100.0,143,574.784546
0.0,200,577.675961
100.0,194,580.413585
0.0,200,583.244209
100.0,34,583.752381
100.0,60,584.682454
0.0,200,587.68635
100.0,80,588.930797
100.0,115,590.596379
100.0,158,592.91312
0.0,200,595.775674
0.0,200,600.130222
0.0,200,603.011438
0.0,200,605.858701
100.0,74,606.928119
100.0,76,608.026276
100.0,40,608.591668
100.0,125,610.43453
-100.0,15,610.654862
100.0,153,612.82279
0.0,200,615.652267
0.0,200,618.572592
100.0,150,620.745692
100.0,127,622.578941
0.0,200,625.391729
100.0,67,626.339492
100.0,32,626.803919
100.0,195,631.083231
0.0,200,634.125327
100.0,45,634.786421
100.0,25,635.151969
0.0,200,638.000399
100.0,174,640.535671
100.0,105,642.062863
100.0,66,643.051513
-100.0,9,643.191472
100.0,122,644.91888
100.0,154,660.189294
-100.0,18,660.467836
0.0,200,663.404876
0.0,200,666.311608
100.0,90,667.575027
100.0,42,668.176668
100.0,98,669.54805
100.0,96,670.907419
100.0,39,671.451875
0.0,200,675.562222
100.0,80,676.729531
100.0,106,678.267474
0.0,200,681.099199
100.0,160,683.361687
100.0,34,683.844948
100.0,145,685.913365
100.0,116,687.550677
100.0,134,689.431455
100.0,195,692.213867
100.0,82,693.408618
100.0,119,695.094852
100.0,43,695.702261
100.0,107,697.206515
100.0,161,699.46138
100.0,138,701.490356
100.0,60,702.363517
100.0,151,706.150704
0.0,200,709.142455
100.0,60,710.025232
100.0,150,712.27735
100.0,140,714.379347
100.0,169,716.882174
100.0,116,718.594094
100.0,104,720.365014
100.0,21,720.672576
0.0,200,723.641562
100.0,67,724.673531
100.0,62,725.601295
100.0,113,727.484373
0.0,200,730.694661
100.0,66,731.674617
0.0,200,734.626743
100.0,112,736.266709
100.0,73,739.11828
100.0,33,739.694721
0.0,200,742.796911
100.0,122,744.804904
100.0,70,745.997606
100.0,65,747.013884
100.0,89,748.363818
100.0,122,750.246645
100.0,71,751.441442
100.0,35,751.9898
100.0,98,753.495578
100.0,13,753.697681
100.0,61,754.63065
100.0,94,756.238692
100.0,138,758.442245
100.0,120,760.271357
100.0,58,761.167425
100.0,131,763.4417
100.0,68,764.48058
100.0,33,764.994632
100.0,67,766.007215
100.0,116,768.017371
100.0,118,769.932262
100.0,99,772.967896
