episode,resultado
36525,timeout
36625,timeout
36725,timeout
36778,llegada
36834,llegada
36887,llegada
36987,timeout
37016,llegada
37081,llegada
37181,timeout
37215,llegada
37315,timeout
37388,llegada
37440,llegada
37499,llegada
37508,llegada
37583,llegada
37683,timeout
37715,llegada
37815,timeout
37841,llegada
37874,llegada
37891,llegada
37991,llegada
38047,llegada
38119,llegada
38219,timeout
38283,llegada
38383,timeout
38405,llegada
38505,timeout
38584,llegada
38648,llegada
38748,timeout
38848,timeout
38900,llegada
38930,llegada
38978,llegada
39018,llegada
39118,timeout
39178,llegada
39187,llegada
39287,timeout
39339,llegada
39406,llegada
39419,llegada
39451,choque
39526,llegada
39626,timeout
39726,timeout
39826,timeout
39886,llegada
39986,timeout
40054,llegada
40154,timeout
40183,llegada
40228,llegada
40275,llegada
40375,timeout
40393,llegada
40417,choque
40517,timeout
40562,llegada
40583,llegada
40659,llegada
40698,llegada
40750,llegada
40850,timeout
40930,llegada
40978,llegada
41002,llegada
41033,llegada
41063,llegada
41088,llegada
41118,llegada
41218,timeout
41290,llegada
41390,timeout
41458,choque
41469,llegada
41526,llegada
41534,choque
41610,llegada
41674,llegada
41703,llegada
41753,llegada
41793,llegada
41893,timeout
41907,llegada
41995,choque
42009,llegada
42109,timeout
42191,llegada
42291,timeout
42391,timeout
42491,timeout
42591,timeout
42659,llegada
42700,llegada
42748,choque
42764,choque
42791,choque
42891,timeout
42964,llegada
42989,llegada
43059,llegada
43159,timeout
43259,timeout
43321,llegada
43355,llegada
43455,timeout
43530,llegada
43539,llegada
43611,llegada
43699,llegada
43743,llegada
43756,llegada
43856,timeout
43956,timeout
44056,timeout
44095,llegada
44195,timeout
44201,llegada
44250,llegada
44350,timeout
44450,timeout
44464,llegada
44498,choque
44510,llegada
44570,llegada
44648,llegada
44708,choque
44721,llegada
44780,llegada
44880,timeout
44908,llegada
45008,timeout
45010,choque
45110,timeout
45136,choque
45146,llegada
45185,llegada
45285,timeout
45303,choque
45338,llegada
45349,llegada
45418,llegada
45471,llegada
45489,llegada
45553,llegada
45653,timeout
45684,llegada
45689,llegada
45698,choque
45731,llegada
45738,llegada
45760,llegada
45823,llegada
45873,llegada
45935,llegada
46035,timeout
46087,llegada
46136,llegada
46177,llegada
46207,llegada
46307,timeout
46334,llegada
46376,llegada
46447,llegada
46547,timeout
46622,llegada
46663,llegada
46744,llegada
46788,choque
46812,choque
46843,llegada
46930,llegada
46965,llegada
47065,timeout
47157,llegada
47203,choque
47283,llegada
47321,llegada
47362,llegada
47425,llegada
47467,choque
47493,llegada
47538,llegada
47567,llegada
47630,llegada
47668,llegada
47707,llegada
47735,llegada
47736,llegada
47836,timeout
47883,llegada
47896,choque
47972,llegada
47995,llegada
48095,timeout
48116,llegada
48216,timeout
48257,llegada
48357,timeout
48410,choque
48449,llegada
48475,choque
48575,timeout
48622,llegada
48685,llegada
48708,llegada
48768,llegada
48777,llegada
48839,llegada
48905,llegada
48928,llegada
48977,llegada
49014,llegada
49032,llegada
49050,llegada
49066,llegada
49166,timeout
49198,llegada
49287,llegada
49387,timeout
49397,choque
49400,choque
49482,llegada
49506,choque
49556,llegada
49607,llegada
49666,llegada
49724,llegada
49753,llegada
49853,timeout
49891,choque
49915,llegada
50015,timeout
50028,llegada
50054,llegada
50097,llegada
50138,llegada
50163,llegada
50180,llegada
50280,timeout
50301,choque
50361,choque
50459,llegada
50559,timeout
50587,llegada
50652,llegada
50717,llegada
50765,llegada
50781,llegada
50800,llegada
50816,llegada
50835,llegada
50861,llegada
50887,llegada
50987,timeout
51072,llegada
51110,llegada
51126,choque
51222,llegada
51260,llegada
51340,choque
51362,llegada
51403,llegada
51435,llegada
51479,llegada
51579,timeout
51679,timeout
51779,timeout
51855,llegada
51876,llegada
51923,llegada
51940,llegada
52033,llegada
52077,llegada
52177,timeout
52241,llegada
52314,llegada
52347,llegada
52371,llegada
52407,llegada
52416,llegada
52454,llegada
52505,llegada
52588,llegada
52601,llegada
52602,llegada
52641,llegada
52671,llegada
52702,choque
52751,llegada
52820,choque
52859,llegada
52919,llegada
52935,llegada
52987,llegada
53083,llegada
53133,llegada
53165,llegada
53241,llegada
53302,llegada
53349,llegada
53365,llegada
53399,llegada
53437,llegada
53452,llegada
53472,choque
53501,llegada
53505,llegada
53514,llegada
53614,timeout
53643,llegada
53687,llegada
53730,choque
53742,llegada
53743,llegada
53765,llegada
53823,llegada
53862,llegada
53874,llegada
53953,llegada
53968,llegada
53985,llegada
54020,choque
54037,llegada
54051,llegada
54095,llegada
54110,choque
54157,llegada
54167,llegada
54176,llegada
54252,llegada
54265,llegada
54329,llegada
54336,llegada
54391,llegada
54476,llegada
54535,llegada
54573,llegada
54606,llegada
54667,llegada
54735,llegada
54773,llegada
54827,llegada
54887,llegada
54906,llegada
54936,llegada
55036,timeout
55071,llegada
55159,llegada
55216,llegada
55316,timeout
55378,llegada
55424,llegada
55483,llegada
55555,choque
55606,llegada
55706,timeout
55767,llegada
55814,llegada
55858,llegada
55896,llegada
55956,llegada
55979,llegada
56009,llegada
56051,llegada
56090,llegada
56133,llegada
56158,llegada
56205,llegada
56304,llegada
56360,llegada
56381,choque
56422,llegada
56434,llegada
