episode,resultado
13,choque
45,llegada
66,choque
107,choque
116,choque
148,choque
161,choque
215,choque
290,timeout
329,choque
380,choque
403,choque
478,timeout
553,timeout
602,llegada
617,choque
649,choque
692,choque
767,timeout
842,timeout
917,timeout
992,timeout
1026,choque
1032,choque
1036,choque
1060,choque
1135,timeout
1158,choque
1162,choque
1164,choque
1239,timeout
1255,choque
1303,choque
1321,choque
1327,choque
1340,choque
1374,choque
1384,choque
1422,choque
1497,timeout
1572,timeout
1588,choque
1634,choque
1661,choque
1670,choque
1707,choque
1721,choque
1780,choque
1787,choque
1827,choque
1902,timeout
1915,choque
1951,choque
2026,timeout
2076,choque
2114,choque
2121,choque
2128,choque
2177,choque
2252,timeout
2327,timeout
2382,choque
2409,choque
2484,timeout
2532,choque
2607,timeout
2651,llegada
2712,choque
2734,choque
2809,timeout
2884,timeout
2959,timeout
3011,choque
3086,timeout
3118,choque
3193,timeout
3214,choque
3289,timeout
3364,timeout
3387,choque
3416,choque
3491,timeout
3496,choque
3571,timeout
3616,choque
3673,choque
3748,timeout
3823,timeout
3849,choque
3894,choque
3937,llegada
3959,choque
3969,choque
4020,choque
4095,timeout
4170,timeout
4245,timeout
4316,llegada
4391,timeout
4400,llegada
4402,choque
4477,timeout
4552,timeout
4627,timeout
4672,llegada
4674,choque
4749,timeout
4824,timeout
4899,timeout
4974,timeout
5049,timeout
5124,timeout
5199,timeout
5274,timeout
5299,choque
5374,timeout
5385,choque
5460,timeout
5535,timeout
5610,timeout
5685,timeout
5760,timeout
5835,timeout
5910,timeout
5985,timeout
6060,timeout
6135,timeout
6158,llegada
6233,timeout
6308,timeout
6383,timeout
6458,timeout
6533,timeout
6608,timeout
6683,timeout
6728,llegada
6803,timeout
6878,timeout
6953,timeout
7028,timeout
7103,timeout
7115,choque
7190,timeout
7265,timeout
7340,timeout
7415,timeout
7490,timeout
7565,timeout
7640,timeout
7715,timeout
7790,timeout
7823,llegada
7898,timeout
7973,timeout
8048,timeout
8095,llegada
8170,timeout
8245,timeout
8320,timeout
8395,timeout
8470,timeout
8545,timeout
8562,choque
8637,timeout
8712,timeout
8787,timeout
8862,timeout
8905,llegada
8980,timeout
9055,timeout
9130,timeout
9205,timeout
9280,timeout
9355,timeout
9430,timeout
9491,choque
9555,llegada
9578,llegada
9653,timeout
9668,llegada
9743,timeout
9818,timeout
9893,timeout
9954,llegada
10029,timeout
10104,timeout
10179,timeout
10254,timeout
10288,llegada
10363,timeout
10438,timeout
10513,timeout
10588,timeout
10663,timeout
10738,timeout
10813,timeout
10888,timeout
10963,timeout
10979,llegada
11054,timeout
11129,timeout
11204,timeout
11251,llegada
11326,timeout
11401,timeout
11417,llegada
11492,timeout
11530,llegada
11556,llegada
11580,llegada
11650,llegada
11725,timeout
11800,timeout
11875,timeout
11950,timeout
12025,timeout
12100,timeout
12175,timeout
12250,timeout
12324,llegada
12372,llegada
12447,timeout
12522,timeout
12597,timeout
12672,timeout
12747,timeout
12798,llegada
12873,timeout
12948,timeout
13023,timeout
13098,timeout
13099,llegada
13174,timeout
13249,timeout
13284,llegada
13359,timeout
13434,timeout
13509,timeout
13584,timeout
13659,timeout
13670,llegada
13708,llegada
13783,timeout
13858,timeout
13933,timeout
13968,llegada
14043,timeout
14118,timeout
14193,timeout
14268,timeout
14343,timeout
14383,llegada
14411,llegada
14486,timeout
14561,timeout
14636,timeout
14694,choque
14725,llegada
14774,llegada
14849,timeout
14863,llegada
14938,timeout
15013,timeout
15088,timeout
15161,llegada
15205,llegada
15280,timeout
15305,llegada
15372,llegada
15447,timeout
15506,llegada
15539,llegada
15573,llegada
15648,timeout
15666,llegada
15741,timeout
15756,llegada
15799,llegada
15874,timeout
15949,timeout
15991,llegada
16066,timeout
16141,timeout
16216,timeout
16245,llegada
16320,timeout
16395,timeout
16440,llegada
16449,llegada
16524,timeout
16572,llegada
16647,timeout
16712,llegada
16787,timeout
16862,timeout
16905,llegada
16929,llegada
17004,timeout
17071,llegada
17146,timeout
17197,llegada
17247,llegada
17322,timeout
17397,timeout
17442,llegada
17517,timeout
17548,choque
17623,timeout
17681,llegada
17756,timeout
17828,llegada
17903,timeout
17978,timeout
18053,timeout
18117,llegada
18178,llegada
18226,llegada
18249,choque
18324,timeout
18399,timeout
18456,choque
18531,timeout
18575,llegada
18650,timeout
18725,timeout
18754,llegada
18812,llegada
18887,timeout
18919,llegada
18994,timeout
19069,timeout
19087,llegada
19114,llegada
19164,llegada
19195,choque
19270,timeout
19327,llegada
19384,llegada
19459,timeout
19483,llegada
19558,timeout
19560,llegada
19635,timeout
19710,timeout
19781,llegada
19856,timeout
19920,llegada
19995,timeout
20070,timeout
20098,llegada
20173,timeout
20248,timeout
20298,choque
20351,llegada
20377,llegada
20452,timeout
20459,llegada
20483,llegada
20507,choque
20582,timeout
20656,llegada
20724,llegada
20799,timeout
20874,timeout
20949,timeout
21024,timeout
21099,timeout
21174,timeout
21249,timeout
21324,timeout
21357,llegada
21432,timeout
21477,llegada
21490,llegada
21565,timeout
21569,choque
21644,timeout
21680,llegada
21742,llegada
21817,timeout
21892,timeout
21967,timeout
22042,timeout
22117,timeout
22192,timeout
22267,timeout
22277,llegada
22345,choque
22401,llegada
22408,llegada
22435,llegada
22453,llegada
22481,llegada
22556,timeout
22631,timeout
22666,llegada
22725,llegada
22791,llegada
22815,llegada
22840,llegada
22862,llegada
22937,timeout
23012,timeout
23028,llegada
23099,llegada
23105,llegada
23180,timeout
23251,llegada
23326,timeout
23335,llegada
23410,timeout
23477,llegada
23513,llegada
23588,llegada
23656,llegada
23681,llegada
23722,llegada
23769,llegada
23806,choque
23837,llegada
23879,llegada
