#{"t_start": 1749578770.246744, "env_id": "None"}
r,l,t
0.0,200,173.70429
0.0,200,177.355227
0.0,200,180.937687
0.0,200,184.508782
0.0,200,188.152017
0.0,200,365.074455
0.0,200,369.554883
0.0,200,373.311835
0.0,200,376.906244
0.0,200,380.6454
-100.0,128,562.75471
0.0,200,566.701253
0.0,200,570.304567
-100.0,18,570.63818
0.0,200,574.155435
0.0,200,760.409764
0.0,200,764.223555
100.0,30,764.773096
100.0,90,766.384682
-100.0,52,767.330727
0.0,200,955.47808
100.0,12,955.746157
0.0,200,959.508221
0.0,200,963.087989
100.0,20,963.461681
0.0,200,1155.407556
0.0,200,1159.436671
0.0,200,1163.156481
100.0,79,1164.611192
100.0,182,1167.907377
0.0,200,1362.775506
100.0,55,1363.8702
100.0,23,1364.317526
100.0,68,1365.553611
100.0,36,1366.201096
100.0,48,1551.632075
100.0,48,1552.742529
100.0,48,1553.83903
-100.0,9,1554.057115
100.0,93,1556.178958
100.0,96,1723.738165
100.0,76,1725.456916
100.0,46,1726.524582
-100.0,39,1727.268186
100.0,32,1727.770769
100.0,11,1900.046365
100.0,90,1901.930782
-100.0,32,1902.594752
100.0,70,1904.11146
100.0,34,1904.883588
100.0,20,2078.243629
100.0,55,2079.393542
100.0,85,2081.304935
-100.0,106,2083.774625
100.0,68,2084.856466
100.0,59,2271.363424
-100.0,22,2271.880471
100.0,27,2272.484133
100.0,28,2273.135733
100.0,32,2273.884339
100.0,48,2457.507776
100.0,7,2457.680308
100.0,50,2458.771568
100.0,125,2461.560024
100.0,18,2461.978113
100.0,27,2651.444074
100.0,33,2652.259204
100.0,46,2653.276412
100.0,31,2653.978036
100.0,60,2655.39526
100.0,32,2846.690135
100.0,46,2847.476766
100.0,26,2847.916602
100.0,8,2848.05512
100.0,51,2848.914765
0,200,206.919209
0.0,200,210.023529
100.0,180,212.836886
100.0,37,213.432064
100.0,113,215.190847
100.0,105,216.837653
100.0,63,217.831795
0.0,200,221.014457
100.0,101,222.620166
0.0,200,225.769549
0.0,200,230.949769
100.0,105,232.590114
0.0,200,235.751069
0.0,200,239.028739
0.0,200,242.20424
100.0,173,244.906514
-100.0,91,246.455345
-100.0,8,246.599195
0.0,200,249.745393
-100.0,6,249.848218
0.0,200,253.008125
100.0,116,254.935498
0.0,200,258.134444
0.0,200,261.289565
0.0,200,266.62882
0.0,200,269.802058
0.0,200,272.889489
0.0,200,276.013809
100.0,134,278.187585
0.0,200,281.417786
0.0,200,284.652491
100.0,1,284.682396
0.0,200,287.986973
0.0,200,291.4172
0.0,200,294.665874
100.0,97,296.288232
-100.0,23,296.668876
100.0,134,300.86403
0.0,200,304.16976
0.0,200,307.397318
100.0,126,309.439613
100.0,155,312.077205
0.0,200,315.286104
100.0,179,318.18032
100.0,123,320.301028
0.0,200,323.646679
0.0,200,327.064841
100.0,121,329.074121
0.0,200,332.709106
0.0,200,338.222252
100.0,138,340.505136
100.0,54,341.416195
0.0,200,344.58818
0.0,200,347.843398
100.0,110,349.633094
-100.0,9,349.788249
0.0,200,353.033541
0.0,200,356.264017
0.0,200,359.474158
100.0,199,382.723134
100.0,122,384.698769
0.0,200,388.203857
0.0,200,393.537208
100.0,102,395.714909
100.0,183,399.502646
-100.0,136,401.948716
100.0,136,404.209428
100.0,111,406.026969
100.0,159,408.607926
0.0,200,411.871101
100.0,110,413.652434
0.0,200,416.919094
100.0,20,417.260595
0.0,200,420.523164
100.0,66,421.611917
100.0,124,423.849688
0.0,200,429.460694
100.0,187,432.774637
0.0,200,436.065424
100.0,70,437.198944
0.0,200,440.55003
100.0,147,442.972753
100.0,49,443.777377
100.0,48,444.573522
0.0,200,447.850088
100.0,102,449.538435
100.0,67,450.727953
100.0,152,453.418945
0.0,200,456.658275
100.0,126,458.708063
-100.0,11,458.900668
100.0,165,461.735876
100.0,9,461.893067
100.0,45,462.700713
0.0,200,468.023445
0.0,200,471.302867
0.0,200,474.513497
0.0,200,477.736266
100.0,107,479.500922
100.0,83,480.902369
0.0,200,484.331707
100.0,83,485.705877
0.0,200,489.076145
0.0,200,492.515011
100.0,115,494.45259
100.0,100,496.222085
100.0,115,498.259284
100.0,107,502.107342
0.0,200,505.575444
100.0,190,508.85336
100.0,106,510.878163
100.0,7,510.995365
100.0,84,512.535359
0.0,200,515.910973
0.0,200,519.632424
100.0,24,520.157611
100.0,98,521.782737
100.0,52,522.642887
100.0,53,523.496286
100.0,195,526.757081
100.0,107,528.431771
100.0,34,528.957525
100.0,54,529.809038
100.0,140,532.048951
100.0,55,532.974509
0.0,200,538.24647
0.0,200,541.575349
100.0,61,542.571933
-100.0,3,542.629993
0.0,200,545.857883
0.0,200,549.238601
-100.0,52,550.216648
100.0,95,551.727046
100.0,91,553.201827
0.0,200,556.440049
0.0,200,559.639617
100.0,79,575.136678
0.0,200,578.909442
100.0,97,580.584669
0.0,200,584.046628
0.0,200,589.298532
100.0,158,591.866263
100.0,39,592.501955
0.0,200,595.735891
100.0,35,596.314082
100.0,35,596.885859
100.0,40,597.525561
0.0,200,600.76547
100.0,90,602.262039
100.0,42,602.96464
100.0,97,604.555136
100.0,94,606.069342
100.0,23,606.455446
100.0,93,607.944009
100.0,16,608.208725
100.0,26,608.6339
100.0,51,609.469142
-100.0,89,610.916444
0.0,200,614.180421
100.0,95,615.820845
100.0,124,617.912551
100.0,124,619.972319
100.0,47,620.809714
100.0,92,622.434666
100.0,91,625.935482
100.0,84,627.443413
100.0,36,628.05046
100.0,107,629.849816
0.0,200,633.153265
100.0,18,633.480247
0.0,200,637.300879
100.0,42,638.275914
0.0,200,642.207613
100.0,165,645.114382
-100.0,4,645.184561
0.0,200,648.791471
100.0,49,649.58563
0.0,200,652.814008
0.0,200,656.097095
100.0,152,658.597522
0.0,200,663.824631
100.0,189,666.942063
100.0,81,668.418782
100.0,78,669.732993
0.0,200,673.241508
100.0,28,673.744231
-100.0,60,674.748754
100.0,27,675.25205
100.0,78,676.734155
100.0,116,678.653518
100.0,159,681.287192
100.0,60,682.2902
100.0,67,683.383677
100.0,115,685.268641
0.0,200,688.578239
100.0,128,690.862519
0.0,200,694.202657
100.0,52,695.078334
100.0,88,696.559596
100.0,92,700.194287
