#{"t_start": 1749043544.95443, "env_id": "None"}
r,l,t
0.0,100,169.775104
0.0,100,171.679851
0.0,100,173.523635
0.0,100,175.387601
0.0,100,177.285584
0.0,100,339.979254
0.0,100,341.875011
0.0,100,343.690332
0.0,100,345.559384
0.0,100,347.510268
0.0,100,512.329408
0.0,100,514.18232
0.0,100,516.053981
100.0,22,516.484096
0.0,100,518.28391
0.0,100,688.787817
0.0,100,690.710348
100.0,61,691.834583
0.0,100,693.737334
100.0,39,694.490168
0.0,100,869.191549
0.0,100,871.054325
0.0,100,872.895513
100.0,39,873.631297
100.0,12,873.849883
0.0,100,1049.383648
0.0,100,1051.228697
100.0,80,1052.714968
100.0,78,1054.133381
0.0,100,1055.964091
0.0,100,1235.219233
100.0,13,1235.465893
100.0,18,1235.830284
0.0,100,1237.696924
0.0,100,1239.610115
0.0,100,1424.442299
100.0,16,1424.753441
100.0,32,1425.346048
100.0,22,1425.787854
0.0,100,1427.759135
100.0,12,1616.314573
100.0,7,1616.449346
100.0,20,1616.802566
100.0,22,1617.21717
100.0,19,1617.588893
100.0,6,1813.911359
100.0,18,1814.212996
100.0,9,1814.382541
100.0,20,1814.778947
100.0,60,1815.920792
100.0,18,2013.221559
100.0,12,2013.403413
100.0,12,2013.614949
100.0,13,2013.871054
100.0,11,2014.096101
100.0,6,2212.343348
100.0,12,2212.597016
100.0,14,2212.843584
100.0,21,2213.257538
100.0,18,2213.60025
100.0,7,2415.048699
100.0,30,2415.541226
100.0,29,2416.055382
100.0,8,2416.212543
100.0,26,2416.705931
100.0,5,2623.425943
100.0,6,2623.535692
100.0,31,2624.129097
100.0,4,2624.211791
100.0,8,2624.370217
100.0,22,2830.046736
100.0,24,2830.497923
100.0,20,2830.846668
100.0,22,2831.248226
100.0,14,2831.522879
0.0,100,86.099811
0.0,100,87.577117
0.0,100,89.062583
0.0,100,90.545257
-100.0,72,91.634364
0.0,100,93.26885
0.0,100,94.884795
100.0,69,95.959425
100.0,61,96.939909
100.0,78,98.210596
-100.0,22,98.572231
0.0,100,100.228846
-100.0,4,100.294458
0.0,100,101.778883
0.0,100,103.287889
100.0,56,104.122807
0.0,100,105.62552
0.0,100,108.446333
-100.0,89,109.77635
0.0,100,111.231032
0.0,100,112.708373
100.0,68,113.794475
0.0,100,115.452006
100.0,95,116.901876
0.0,100,118.367738
0.0,100,119.819196
0.0,100,121.281133
0.0,100,122.751224
0.0,100,124.196671
0.0,100,125.691098
0.0,100,127.166222
0.0,100,128.663391
0.0,100,130.316203
0.0,100,131.958998
0.0,100,133.431049
-100.0,82,134.658251
100.0,1,134.678263
0.0,100,136.281375
0.0,100,137.859234
-100.0,6,137.981925
0.0,100,140.897754
0.0,100,142.405506
0.0,100,144.006551
0.0,100,145.61628
100.0,49,146.412473
100.0,89,147.881983
0.0,100,149.44576
0.0,100,151.043304
100.0,20,151.36901
0.0,100,152.818604
0.0,100,154.256574
100.0,64,155.210978
0.0,100,156.665397
0.0,100,158.170703
0.0,100,159.65737
0.0,100,161.150119
0.0,100,162.642396
0.0,100,164.160366
0.0,100,165.605777
100.0,29,166.025122
0.0,100,167.517876
0.0,100,178.400733
0.0,100,180.011515
0.0,100,183.019225
0.0,100,184.469145
-100.0,8,184.590324
0.0,100,186.027541
100.0,44,186.683289
100.0,47,187.373854
0.0,100,188.873511
0.0,100,190.380276
0.0,100,191.864998
0.0,100,193.345353
0.0,100,194.81463
0.0,100,196.282674
0.0,100,197.748084
100.0,10,197.909256
100.0,76,199.011823
-100.0,75,200.168775
0.0,100,201.635232
0.0,100,203.258618
0.0,100,204.752551
0.0,100,206.216096
100.0,1,206.236116
0.0,100,207.678907
0.0,100,209.139924
0.0,100,210.7644
100.0,1,210.787254
0.0,100,212.241014
0.0,100,215.008123
0.0,100,216.582796
0.0,100,218.35169
100.0,98,219.928759
0.0,100,221.426538
100.0,24,221.772933
0.0,100,223.241616
0.0,100,224.828173
100.0,88,226.106779
0.0,100,227.550091
0.0,100,229.028119
0.0,100,230.519751
0.0,100,232.007381
0.0,100,233.469942
0.0,100,234.927694
100.0,63,235.847916
0.0,100,237.462169
100.0,65,238.400129
0.0,100,239.831493
0.0,100,241.296394
0.0,100,242.74226
0.0,100,244.187493
0.0,100,246.937091
0.0,100,248.570229
0.0,100,250.172398
0.0,100,251.760185
100.0,78,252.979451
100.0,53,253.771928
100.0,77,254.888315
0.0,100,256.357026
0.0,100,257.935157
100.0,17,258.243448
0.0,100,259.783034
0.0,100,261.29137
0.0,100,262.830462
0.0,100,264.349507
100.0,34,264.902562
100.0,71,266.140566
100.0,52,266.95997
100.0,73,268.062215
0.0,100,269.574713
0.0,100,271.069082
0.0,100,272.592969
100.0,37,273.1412
0.0,100,274.680037
0.0,100,276.287788
100.0,38,276.873282
100.0,89,279.881522
0.0,100,281.61877
100.0,82,282.89715
0.0,100,284.405034
100.0,93,285.958681
0.0,100,287.464391
0.0,100,289.109852
100.0,14,289.332224
0.0,100,290.981021
100.0,7,291.092144
0.0,100,292.597815
0.0,100,294.103432
0.0,100,295.609564
0.0,100,297.125746
0.0,100,298.662922
0.0,100,300.372962
0.0,100,301.870425
0.0,100,303.496893
100.0,86,304.812581
0.0,100,306.294721
100.0,47,307.1138
0.0,100,308.70034
-100.0,11,308.881625
100.0,41,309.5074
100.0,25,309.887115
100.0,34,310.408309
100.0,1,310.428329
100.0,56,311.297222
0.0,100,314.295309
0.0,100,315.802234
0.0,100,317.318541
100.0,46,318.033401
0.0,100,319.67526
-100.0,10,319.831582
0.0,100,321.347022
0.0,100,322.853449
100.0,29,323.30975
0.0,100,324.830678
100.0,27,325.238298
100.0,23,325.698308
0.0,100,327.315318
0.0,100,328.881482
100.0,59,329.799599
0.0,100,331.472604
0.0,100,333.108041
100.0,90,334.566202
100.0,16,334.836969
0.0,100,336.374416
0.0,100,337.897867
0.0,100,349.01497
0.0,100,350.518435
0.0,100,352.022165
0.0,100,353.527852
0.0,100,356.436373
0.0,100,358.01844
100.0,41,358.653846
0.0,100,360.264365
0.0,100,361.956193
100.0,95,363.394921
0.0,100,365.103896
100.0,47,365.860389
100.0,6,365.955549
-100.0,23,366.303551
100.0,20,366.615743
0.0,100,368.302731
100.0,52,369.164436
100.0,5,369.248842
0.0,100,370.794787
100.0,80,371.992482
0.0,100,373.509674
0.0,100,375.003942
100.0,62,376.048076
0.0,100,377.594072
0.0,100,379.115489
100.0,74,380.235687
0.0,100,381.721692
0.0,100,383.399824
-100.0,67,384.417747
0.0,100,385.895353
100.0,55,386.863169
0.0,100,388.431495
0.0,100,391.232092
0.0,100,392.753979
0.0,100,394.229659
0.0,100,395.767264
100.0,53,396.57386
0.0,100,398.178167
0.0,100,399.92895
100.0,70,401.100339
-100.0,26,401.554101
-100.0,5,401.640006
100.0,11,401.861383
100.0,29,402.305458
100.0,58,403.188014
0.0,100,404.725992
0.0,100,406.226907
0.0,100,407.725256
100.0,37,408.288605
100.0,47,408.987213
100.0,90,410.395766
0.0,100,412.069809
100.0,10,412.224994
0.0,100,413.767443
100.0,50,414.52038
0.0,100,416.065002
0.0,100,417.585052
0.0,100,419.124929
0.0,100,420.690953
0.0,100,423.498759
0.0,100,425.079797
0.0,100,426.813179
100.0,13,427.010189
0.0,100,428.58037
0.0,100,430.12323
0.0,100,431.660793
0.0,100,433.188313
100.0,16,433.439739
0.0,100,435.28782
0.0,100,436.825735
0.0,100,438.350951
0.0,100,439.943623
100.0,28,440.395187
0.0,100,441.936547
100.0,30,442.409507
0.0,100,444.125133
0.0,100,445.804194
100.0,27,446.233209
0.0,100,447.754765
-100.0,87,449.108495
100.0,44,449.786596
100.0,65,450.768321
0.0,100,452.352888
-100.0,40,453.123615
100.0,25,453.555122
100.0,24,453.938246
0.0,100,455.604123
0.0,100,458.536128
100.0,25,458.925007
0.0,100,460.446213
100.0,11,460.621439
100.0,54,461.45117
0.0,100,462.968365
100.0,78,464.168226
0.0,100,465.717841
0.0,100,467.226425
0.0,100,468.734016
0.0,100,470.315409
100.0,48,471.043416
0.0,100,472.562755
0.0,100,474.083478
100.0,67,475.104794
100.0,35,475.63087
0.0,100,477.12522
0.0,100,478.704524
0.0,100,480.232414
100.0,47,480.944618
0.0,100,482.451199
0.0,100,483.974189
100.0,44,484.642776
100.0,74,485.774131
100.0,92,487.291792
100.0,25,487.684854
0.0,100,490.587547
0.0,100,492.172122
0.0,100,493.678574
0.0,100,495.216331
0.0,100,496.743954
0.0,100,498.266006
0.0,100,499.80407
100.0,96,501.262346
0.0,100,502.778332
100.0,74,503.902676
0.0,100,505.415871
0.0,100,506.924537
100.0,66,507.968098
100.0,82,509.210789
100.0,49,509.964355
0.0,100,519.445369
-100.0,20,519.760741
0.0,100,521.462237
100.0,45,522.160636
0.0,100,523.699984
0.0,100,525.265611
0.0,100,526.81815
0.0,100,528.520399
100.0,39,529.14155
0.0,100,531.982723
100.0,56,532.939155
100.0,58,533.875247
-100.0,67,534.994239
100.0,19,535.287278
100.0,23,535.665698
100.0,42,536.321917
100.0,95,537.77685
100.0,41,538.412518
100.0,25,538.792964
100.0,24,539.181042
100.0,71,540.281509
-100.0,98,541.791068
100.0,32,542.319854
0.0,100,543.922988
100.0,49,544.708474
100.0,36,545.383396
0.0,100,546.976998
100.0,1,546.997309
100.0,72,548.230806
100.0,19,548.573353
0.0,100,550.226468
100.0,18,550.566545
0.0,100,552.169406
100.0,78,553.375198
0.0,100,554.92896
100.0,56,555.796914
100.0,85,557.113068
100.0,44,557.798109
0.0,100,559.350865
100.0,36,560.037712
0.0,100,561.606519
100.0,60,562.548687
100.0,43,563.228298
-100.0,12,563.499394
100.0,51,565.61567
100.0,25,566.085459
100.0,29,566.58943
100.0,40,567.236071
0.0,100,568.802875
100.0,37,569.379872
100.0,98,570.95674
100.0,85,572.329903
0.0,100,574.008097
0.0,100,575.582736
0.0,100,577.153517
0.0,100,578.750204
-100.0,16,579.022524
100.0,75,580.206676
0.0,100,581.832942
100.0,59,582.778902
100.0,14,583.000221
0.0,100,584.581281
0.0,100,586.168485
100.0,43,586.922377
0.0,100,588.510003
0.0,100,590.031922
100.0,66,591.065411
100.0,31,591.559089
100.0,20,591.866423
-100.0,74,593.012009
100.0,56,593.901687
100.0,18,594.197934
100.0,93,595.704425
100.0,49,596.547237
0.0,100,598.169509
100.0,36,600.022096
100.0,74,601.185841
0.0,100,602.733152
0.0,100,604.298368
100.0,95,605.821145
0.0,100,607.401327
100.0,91,608.941393
0.0,100,610.507022
100.0,69,611.589552
0.0,100,613.134885
0.0,100,614.695013
0.0,100,616.301239
100.0,34,616.854941
100.0,96,618.351246
100.0,26,618.758504
0.0,100,620.614857
-100.0,25,621.019236
100.0,95,622.53899
100.0,12,622.728896
100.0,99,624.29496
100.0,7,624.406178
100.0,10,624.569765
100.0,94,626.02112
100.0,23,626.41626
100.0,68,627.521362
100.0,31,628.027184
100.0,53,628.867845
0.0,100,630.418164
100.0,72,631.635064
100.0,28,632.09782
0.0,100,635.023704
100.0,39,635.702206
100.0,80,637.074015
0.0,100,638.665102
100.0,48,639.448131
100.0,30,639.96405
100.0,59,641.065958
-100.0,70,642.203525
100.0,93,643.675572
-100.0,55,644.567092
0.0,100,646.309401
100.0,69,647.48423
0.0,100,649.205868
0.0,100,650.78964
0.0,100,652.347397
100.0,27,652.804057
0.0,100,654.402148
0.0,100,656.069356
-100.0,89,657.52265
100.0,92,659.015792
100.0,31,659.507415
100.0,11,659.689564
0.0,100,661.310149
100.0,48,662.148707
100.0,1,662.181773
100.0,86,663.619749
100.0,51,664.549678
100.0,20,664.93584
100.0,38,665.553271
100.0,77,666.942335
100.0,79,669.561651
0.0,100,671.297719
100.0,19,671.591709
100.0,63,672.588811
-100.0,5,672.671892
100.0,39,673.286047
0.0,100,674.839928
100.0,63,675.805331
100.0,69,676.933547
100.0,87,678.474315
0.0,100,680.194401
100.0,86,681.688645
100.0,13,681.893405
100.0,57,682.796655
100.0,83,684.156852
100.0,1,684.179385
100.0,28,684.640948
0.0,100,686.360936
100.0,81,695.085863
100.0,65,696.296735
100.0,66,697.368184
0.0,100,699.036565
100.0,77,700.280181
0.0,100,701.923725
100.0,44,702.640792
100.0,61,703.610216
100.0,88,705.030488
0.0,100,706.604835
0.0,100,708.299939
100.0,21,708.624954
100.0,95,710.271968
100.0,19,711.835753
0.0,100,713.453341
100.0,52,714.299984
100.0,37,715.008234
-100.0,13,715.251644
100.0,97,716.813793
100.0,33,717.366784
-100.0,68,718.607251
100.0,64,719.772545
100.0,26,720.207073
-100.0,7,720.320815
0.0,100,721.904468
100.0,64,722.929715
100.0,73,724.09121
0.0,100,725.728778
100.0,27,726.24084
0.0,100,727.892323
100.0,31,728.43426
100.0,38,729.074592
100.0,50,730.035056
100.0,56,731.003021
0.0,100,732.614626
-100.0,14,732.835543
100.0,88,734.250891
100.0,72,735.399617
100.0,43,736.115658
100.0,30,736.659502
100.0,94,738.377451
0.0,100,740.146794
-100.0,99,741.798334
100.0,8,741.928541
100.0,55,742.902419
100.0,50,743.776274
100.0,15,744.014002
100.0,77,745.241101
100.0,72,747.748191
100.0,74,749.158159
100.0,40,749.830115
100.0,37,750.448582
100.0,45,751.268071
0.0,100,752.949202
100.0,29,753.410214
100.0,64,754.402092
0.0,100,755.979237
100.0,28,756.443706
0.0,100,758.052316
100.0,27,758.507196
100.0,33,759.040169
100.0,62,760.128068
100.0,46,760.847454
0.0,100,762.444679
100.0,100,764.009064
100.0,40,764.648554
100.0,12,764.842354
100.0,44,765.522045
100.0,54,766.366686
100.0,33,766.897582
100.0,35,767.468427
100.0,26,767.902993
100.0,35,768.440756
100.0,86,769.782629
100.0,94,771.253663
0.0,100,772.953632
100.0,92,774.39187
0.0,100,775.930218
100.0,14,776.16979
100.0,30,776.634697
100.0,1,776.655712
100.0,96,778.143722
100.0,46,778.896783
100.0,74,780.100968
0.0,100,783.057501
100.0,49,783.834238
0.0,100,785.416345
0.0,100,786.980382
100.0,42,787.663495
100.0,22,788.010014
100.0,30,788.499007
100.0,30,788.984091
100.0,37,789.582666
0.0,100,791.252542
100.0,19,791.606146
100.0,54,792.532306
100.0,27,793.020171
100.0,46,793.910425
0.0,100,795.635161
100.0,67,796.69261
100.0,25,797.080002
100.0,62,798.088957
100.0,35,798.640412
100.0,48,799.400086
-100.0,90,800.944697
100.0,58,801.936179
-100.0,77,803.279747
100.0,58,804.319406
100.0,37,804.93025
100.0,19,805.241555
100.0,59,806.16222
100.0,40,806.796542
0.0,100,808.444244
100.0,66,809.480525
100.0,47,810.238161
100.0,70,811.332937
100.0,81,812.643172
100.0,77,813.904822
100.0,54,814.757921
0.0,100,817.768777
100.0,25,818.178502
100.0,26,818.626302
-100.0,23,819.002232
100.0,27,819.443767
100.0,56,820.324436
100.0,35,820.876627
-100.0,12,821.067365
100.0,6,821.166701
100.0,45,821.880319
100.0,97,823.584601
-100.0,63,824.586222
100.0,31,825.079901
100.0,31,825.573262
100.0,7,825.701785
100.0,66,826.78149
100.0,46,827.562422
100.0,65,828.635511
100.0,61,829.620167
100.0,68,830.679562
100.0,92,832.136906
0.0,100,833.756879
100.0,43,834.430161
100.0,56,835.354037
100.0,32,835.885286
100.0,33,836.417016
100.0,45,837.199297
100.0,82,838.888567
100.0,32,839.553457
100.0,84,841.052398
100.0,34,841.693304
0.0,100,843.271887
100.0,97,844.81224
100.0,5,844.916376
100.0,45,845.687797
-100.0,7,845.844151
100.0,59,846.897036
100.0,3,846.951197
100.0,64,848.123968
100.0,52,849.040984
100.0,98,850.667797
100.0,30,851.2759
100.0,47,853.374208
-100.0,48,854.147933
100.0,60,855.256862
100.0,98,856.917921
-100.0,91,858.372725
100.0,13,858.60435
100.0,32,859.233089
100.0,66,860.342276
100.0,65,861.387287
100.0,89,862.912641
-100.0,12,863.138175
-100.0,3,863.196863
0.0,100,864.807755
0.0,100,866.561565
100.0,13,866.766975
100.0,69,874.423809
100.0,27,874.871832
100.0,47,875.761306
0.0,100,877.5031
100.0,49,878.406515
100.0,35,879.049165
0.0,100,880.863764
100.0,29,881.35447
100.0,49,882.156312
100.0,38,882.749446
100.0,20,883.064152
0.0,100,884.693371
100.0,14,884.918038
-100.0,48,885.66718
100.0,31,886.25487
100.0,1,886.292212
-100.0,1,886.326323
100.0,64,887.433772
100.0,41,888.080471
100.0,70,889.340467
100.0,13,889.556777
100.0,1,889.578356
100.0,24,889.967884
100.0,65,890.972035
100.0,28,891.425189
100.0,21,891.758888
100.0,44,892.450432
100.0,67,893.495304
100.0,31,893.97667
100.0,18,895.484642
100.0,73,896.74777
-100.0,10,896.915502
100.0,19,897.217475
100.0,100,898.824752
100.0,73,899.981102
100.0,15,900.232224
100.0,43,900.978443
-100.0,42,901.652258
100.0,11,901.874553
100.0,36,902.560311
100.0,60,903.523148
100.0,13,903.74002
100.0,60,904.722066
100.0,24,905.095494
100.0,76,906.301997
100.0,50,907.115805
100.0,50,907.975075
100.0,44,908.72505
-100.0,48,909.622392
100.0,28,910.122102
-100.0,42,910.901901
-100.0,28,911.416825
100.0,14,911.664296
-100.0,7,911.781711
100.0,56,912.75382
100.0,22,913.124417
100.0,83,914.553826
100.0,54,915.40496
100.0,71,916.741051
100.0,6,916.875675
100.0,31,917.41885
100.0,55,918.286018
100.0,26,918.70516
100.0,73,919.868511
100.0,1,919.891053
0.0,100,921.471682
100.0,64,922.506588
100.0,30,922.980282
100.0,57,923.912441
0.0,100,925.533085
100.0,55,926.401642
100.0,35,926.959903
100.0,1,926.983469
-100.0,42,927.660143
100.0,60,928.654023
0.0,100,931.530882
100.0,45,932.253137
100.0,61,933.242774
100.0,7,933.359546
100.0,50,934.164539
100.0,33,934.739933
100.0,18,935.04952
100.0,38,935.678041
100.0,47,936.438746
100.0,96,938.069613
100.0,46,938.810561
100.0,54,939.815588
100.0,57,940.736452
100.0,37,941.333355
100.0,48,942.187484
