#{"t_start": 1749069084.0843701, "env_id": "None"}
r,l,t
0.0,100,146.628974
0.0,100,148.302914
0.0,100,149.958325
0.0,100,151.584835
0.0,100,153.195748
0.0,100,305.220812
0.0,100,306.882024
0.0,100,308.49753
100.0,76,309.725093
100.0,88,311.142987
100.0,17,465.963939
100.0,10,466.13008
0.0,100,467.766629
100.0,7,467.88834
100.0,55,468.795292
-100.0,62,628.249538
100.0,36,628.846227
0.0,100,630.496017
100.0,12,630.693284
100.0,10,630.859963
100.0,35,793.766967
100.0,24,794.169956
100.0,14,794.409335
100.0,43,795.132455
100.0,18,795.443138
100.0,6,961.496272
100.0,42,962.188462
100.0,15,962.439367
100.0,31,962.949079
100.0,53,963.824545
100.0,40,1133.511926
100.0,39,1134.149269
100.0,26,1134.575138
100.0,74,1135.787189
100.0,20,1136.122202
100.0,17,1308.385948
100.0,19,1308.713304
100.0,36,1309.31653
100.0,32,1309.854712
100.0,15,1310.116186
100.0,37,1485.201652
100.0,42,1485.894773
100.0,13,1486.113027
100.0,10,1486.284695
100.0,6,1486.39247
100.0,21,1665.043699
100.0,38,1665.675337
100.0,37,1666.286287
100.0,10,1666.457643
100.0,29,1666.943647
1,32.550713
-100.0,25,32.914181
0.0,100,34.2831
-100.0,26,34.642476
-100.0,7,34.747275
-100.0,12,34.92055
0.0,100,36.291035
-100.0,83,37.430544
0.0,100,38.807678
0.0,100,40.192155
100.0,23,40.521371
-100.0,7,40.624581
0.0,100,42.009301
100.0,65,42.949142
100.0,22,43.25842
-100.0,24,43.593603
-100.0,4,43.654138
0.0,100,45.037309
-100.0,55,45.814999
0.0,100,47.191209
0.0,100,48.570765
0.0,100,49.948213
100.0,41,50.514459
0.0,100,51.918433
-100.0,71,52.901591
0.0,100,54.264287
0.0,100,55.644717
0.0,100,57.014792
0.0,100,58.389349
-100.0,3,58.438445
0.0,100,61.270843
0.0,100,62.703788
0.0,100,64.133295
0.0,100,65.553811
0.0,100,66.927992
0.0,100,68.30047
0.0,100,69.663281
0.0,100,71.03378
0.0,100,72.408487
0.0,100,73.810923
100.0,49,74.482971
0.0,100,75.856599
100.0,8,75.977716
0.0,100,77.389215
0.0,100,78.796512
0.0,100,80.186032
0.0,100,81.557256
-100.0,70,82.55471
-100.0,7,82.662323
-100.0,76,83.708324
0.0,100,85.083783
0.0,100,86.457185
0.0,100,87.845409
0.0,100,90.64046
0.0,100,92.038007
0.0,100,93.445624
-100.0,3,93.495724
0.0,100,94.883774
0.0,100,96.271657
0.0,100,97.65981
0.0,100,99.07735
0.0,100,100.461385
0.0,100,101.838523
0.0,100,103.206418
0.0,100,104.575949
100.0,78,105.65798
0.0,100,107.028443
100.0,80,108.14345
0.0,100,109.546905
0.0,100,110.927836
0.0,100,112.32391
-100.0,3,112.372452
0.0,100,113.751402
0.0,100,115.124576
0.0,100,116.498209
0.0,100,117.904491
-100.0,1,117.925508
0.0,100,120.86825
0.0,100,122.284406
0.0,100,123.666355
0.0,100,125.037755
0.0,100,126.407899
100.0,77,127.463511
0.0,100,128.834416
100.0,83,130.005581
0.0,100,131.375019
0.0,100,132.751194
100.0,34,133.234951
0.0,100,134.673703
100.0,44,135.284196
100.0,80,136.374583
0.0,100,137.781886
0.0,100,139.158064
0.0,100,140.522371
-100.0,1,140.541385
0.0,100,141.909644
-100.0,4,141.97169
0.0,100,143.345969
100.0,28,143.745585
0.0,100,153.325949
0.0,100,154.747427
100.0,65,155.677774
0.0,100,158.533443
0.0,100,159.963842
0.0,100,161.37261
100.0,71,162.374164
100.0,54,163.143424
0.0,100,164.563531
0.0,100,165.973921
100.0,67,166.952017
100.0,74,168.02162
100.0,50,168.756067
0.0,100,170.1748
0.0,100,171.58076
0.0,100,172.99649
100.0,13,173.187819
0.0,100,174.610541
100.0,6,174.70463
-100.0,47,175.38654
0.0,100,176.821239
0.0,100,178.239843
100.0,86,179.451539
0.0,100,180.865818
0.0,100,182.305608
0.0,100,183.723274
0.0,100,185.170018
100.0,67,186.122763
0.0,100,188.975537
100.0,32,189.442018
0.0,100,190.921298
0.0,100,192.40295
-100.0,49,193.144041
0.0,100,194.594608
100.0,17,194.841185
0.0,100,196.253211
0.0,100,197.715148
0.0,100,199.136474
0.0,100,200.54016
0.0,100,202.006781
100.0,1,202.028813
0.0,100,203.426811
0.0,100,204.839945
0.0,100,206.256153
100.0,90,207.526892
100.0,11,207.69119
100.0,26,208.091322
0.0,100,209.497881
0.0,100,210.926236
0.0,100,212.345784
0.0,100,213.763258
0.0,100,215.18444
0.0,100,216.619402
100.0,85,217.817751
0.0,100,220.675242
100.0,97,222.074838
0.0,100,223.554119
0.0,100,224.964035
-100.0,2,224.998084
100.0,51,225.717059
100.0,39,226.271771
100.0,31,226.713467
100.0,22,227.028201
0.0,100,228.441286
100.0,42,229.041746
100.0,60,229.908585
-100.0,18,230.169753
100.0,69,231.169148
0.0,100,232.612301
-100.0,4,232.676389
100.0,34,233.16696
100.0,44,233.794873
100.0,48,234.477737
100.0,44,235.106643
100.0,81,236.268578
-100.0,59,237.11465
0.0,100,238.567869
100.0,46,239.218274
-100.0,37,239.74932
100.0,17,239.992682
0.0,100,241.463891
0.0,100,242.965774
100.0,29,243.394878
0.0,100,244.826773
0.0,100,246.247352
100.0,49,246.948382
100.0,42,247.546396
100.0,69,248.556422
0.0,100,251.37661
100.0,76,252.473415
0.0,100,253.893672
100.0,66,254.834817
0.0,100,256.256408
0.0,100,257.684394
100.0,20,257.972581
0.0,100,259.398473
-100.0,98,260.811404
100.0,79,261.922875
100.0,52,262.667117
100.0,29,263.079959
100.0,100,264.492529
100.0,73,265.529351
0.0,100,266.948175
100.0,13,267.144602
0.0,100,268.570116
100.0,49,269.287388
0.0,100,270.723662
0.0,100,272.152518
100.0,69,273.130979
0.0,100,274.576426
100.0,26,274.970537
100.0,29,275.392279
0.0,100,276.812573
0.0,100,278.237474
100.0,87,279.478015
100.0,6,279.571087
0.0,100,282.357311
0.0,100,283.777258
100.0,84,284.985487
0.0,100,286.428886
0.0,100,287.874627
100.0,74,288.938037
100.0,56,289.755013
100.0,47,290.433187
100.0,64,291.370512
100.0,8,291.488115
100.0,68,292.482107
0.0,100,293.960749
0.0,100,295.418798
100.0,90,296.700649
100.0,27,297.088229
0.0,100,298.493203
100.0,66,299.448464
100.0,69,300.427142
0.0,100,301.852513
0.0,100,303.267651
100.0,86,312.073369
100.0,72,313.112749
0.0,100,314.580274
100.0,17,314.838861
100.0,32,315.313869
100.0,38,315.879082
100.0,26,316.262193
100.0,11,316.426397
0.0,100,317.912686
100.0,66,320.259001
100.0,86,321.541539
100.0,58,322.391674
100.0,86,323.640645
100.0,33,324.118589
100.0,65,325.07366
100.0,10,325.229193
100.0,35,325.736242
100.0,94,327.101197
100.0,33,327.584826
100.0,33,328.069325
100.0,74,329.148261
100.0,31,329.603326
-100.0,61,330.492321
100.0,70,331.521805
100.0,93,332.863861
100.0,26,333.241857
100.0,85,334.47754
100.0,13,334.668849
100.0,25,335.034636
100.0,43,335.670198
100.0,75,336.76642
100.0,72,337.842636
0.0,100,339.323049
100.0,65,340.276353
100.0,43,340.902042
100.0,86,342.154349
100.0,94,343.536694
0.0,100,344.990448
100.0,80,346.15487
0.0,100,347.640297
100.0,51,348.387138
100.0,25,348.756962
100.0,87,351.452952
100.0,40,352.063859
0.0,100,353.597059
100.0,63,354.554907
100.0,47,355.290024
100.0,62,356.257406
100.0,66,357.239461
100.0,27,357.639415
-100.0,24,358.003606
100.0,65,358.968844
100.0,18,359.242228
-100.0,36,359.773597
100.0,50,360.509588
100.0,15,360.743217
0.0,100,362.226153
100.0,75,363.32734
100.0,43,363.95782
100.0,26,364.342588
100.0,88,365.632112
100.0,80,366.79475
0.0,100,368.319152
100.0,76,369.427931
100.0,23,369.760447
100.0,28,370.18697
0.0,100,371.637218
100.0,15,371.878038
100.0,75,372.977543
100.0,80,374.151126
-100.0,31,374.604403
100.0,11,374.767644
100.0,38,375.32122
100.0,40,375.916249
100.0,21,376.228648
100.0,33,376.741633
100.0,22,377.069924
100.0,9,377.208216
0.0,100,378.652114
0.0,100,380.109467
100.0,42,380.726705
100.0,64,383.075457
100.0,44,383.734366
100.0,65,384.683596
100.0,4,384.746806
100.0,28,385.153144
0.0,100,386.608272
100.0,30,387.049044
100.0,48,387.751276
100.0,39,388.329449
100.0,41,388.974583
100.0,62,389.905579
100.0,17,390.162079
