#{"t_start": 1749037887.447993, "env_id": "None"}
r,l,t
0.0,100,174.82695
0.0,100,176.491847
0.0,100,178.083259
0.0,100,179.703792
0.0,100,181.184612
0.0,100,375.793819
0.0,100,377.437706
100.0,35,377.987812
0.0,100,379.563509
0.0,100,381.131025
100.0,76,574.527624
0.0,100,576.321295
0.0,100,577.917265
0.0,100,579.537283
100.0,11,579.725474
100.0,8,777.090991
100.0,46,777.893186
100.0,30,778.403931
0.0,100,780.232114
100.0,17,780.553058
0.0,100,957.667027
0.0,100,959.171879
100.0,13,959.380536
100.0,9,959.516899
0.0,100,960.952145
100.0,13,1128.254442
0.0,100,1129.652651
100.0,40,1130.213913
100.0,87,1131.447037
0.0,100,1132.854673
100.0,19,1302.580426
100.0,17,1302.82528
100.0,30,1303.257195
0.0,100,1304.701189
100.0,27,1305.096274
0.0,100,1477.152617
100.0,9,1477.282477
100.0,65,1478.24633
100.0,10,1478.397609
100.0,49,1479.105358
100.0,21,1661.571484
100.0,29,1662.109575
100.0,21,1662.524392
100.0,18,1662.869154
100.0,16,1663.169068
100.0,11,1850.71173
100.0,24,1851.087039
100.0,44,1851.936676
100.0,29,1852.419546
100.0,40,1853.104219
100.0,18,2045.157005
100.0,22,2045.59717
100.0,23,2046.004755
100.0,18,2046.392754
100.0,16,2046.719745
100.0,29,2239.328985
100.0,19,2239.704171
100.0,22,2240.131741
100.0,28,2240.651737
100.0,25,2241.144217
100.0,16,2437.451695
100.0,8,2437.582105
100.0,24,2438.042927
100.0,9,2438.215399
100.0,7,2438.351685
100.0,23,2637.611831
100.0,12,2637.820038
100.0,13,2638.042733
100.0,20,2638.38156
100.0,16,2638.67415
100.0,18,2839.607575
100.0,9,2839.731607
100.0,15,2839.947826
100.0,7,2840.091586
100.0,41,2840.885739

0.0,100,85.09876
0.0,100,86.833668
0.0,100,88.541478
0.0,100,90.320659
0.0,100,92.059315
0.0,100,93.872167
0.0,100,95.530415
0.0,100,97.030298
0.0,100,98.69475
0.0,100,100.2595
100.0,5,100.341151
-100.0,75,101.472439
-100.0,35,102.048143
0.0,100,103.654563
100.0,46,104.366148
-100.0,6,104.469469
0.0,100,106.01889
0.0,100,107.533413
0.0,100,109.110272
0.0,100,112.054154
0.0,100,113.563412
0.0,100,115.100474
0.0,100,116.657096
0.0,100,118.252964
0.0,100,119.868517
100.0,94,121.398514
0.0,100,123.00311
0.0,100,124.540131
100.0,36,125.080999
0.0,100,126.635129
0.0,100,128.153401
0.0,100,129.681872
100.0,51,130.452937
0.0,100,131.976002
0.0,100,133.499367
0.0,100,135.073905
-100.0,70,136.186831
0.0,100,137.766889
0.0,100,139.335441
0.0,100,140.897471
0.0,100,142.424072
0.0,100,145.500188
0.0,100,147.053414
0.0,100,148.641662
0.0,100,150.199306
100.0,10,150.368362
0.0,100,152.01385
0.0,100,153.567513
0.0,100,155.086459
0.0,100,156.599912
0.0,100,158.122435
0.0,100,159.677229
0.0,100,161.205918
100.0,71,162.296212
0.0,100,163.836709
0.0,100,165.335993
100.0,36,165.91532
0.0,100,167.439436
0.0,100,168.976274
0.0,100,170.618965
0.0,100,172.201843
0.0,100,181.924699
100.0,18,182.239303
0.0,100,184.078877
0.0,100,187.360653
0.0,100,189.079528
0.0,100,190.776359
0.0,100,192.484163
100.0,95,194.129132
-100.0,12,194.34828
0.0,100,196.059421
0.0,100,197.773508
0.0,100,199.484876
0.0,100,201.213681
100.0,44,202.049515
0.0,100,203.826088
0.0,100,205.733534
100.0,9,205.896878
100.0,73,207.230317
0.0,100,209.041334
0.0,100,210.878992
0.0,100,212.75808
100.0,27,213.279074
0.0,100,215.158995
100.0,16,215.463355
0.0,100,217.204719
0.0,100,218.958987
0.0,100,220.789464
0.0,100,222.644454
0.0,100,226.039651
0.0,100,227.84284
0.0,100,229.650008
0.0,100,231.420171
0.0,100,233.252252
0.0,100,235.102948
0.0,100,236.943707
0.0,100,238.760604
100.0,59,239.881996
0.0,100,241.660204
100.0,67,242.856144
0.0,100,244.65408
100.0,80,246.089312
100.0,44,246.858432
0.0,100,248.702807
0.0,100,250.48225
0.0,100,252.293792
100.0,38,253.035378
0.0,100,255.05478
0.0,100,256.882169
0.0,100,258.692648
0.0,100,260.540735
100.0,73,261.881738
0.0,100,265.289383
0.0,100,267.113929
0.0,100,268.985895
0.0,100,270.856381
0.0,100,272.629885
100.0,76,273.986812
0.0,100,275.80707
0.0,100,277.640438
100.0,50,278.613477
0.0,100,280.482012
100.0,96,282.343534
100.0,59,283.437959
100.0,27,283.968014
0.0,100,285.81657
0.0,100,287.653419
0.0,100,289.48952
0.0,100,291.417636
100.0,34,292.089998
100.0,51,293.09837
100.0,19,293.474369
100.0,18,293.812236
0.0,100,295.793777
0.0,100,297.654562
0.0,100,299.536572
0.0,100,301.382267
0.0,100,304.85199
100.0,65,306.143306
100.0,48,307.045341
0.0,100,309.016836
0.0,100,310.978811
0.0,100,312.811112
0.0,100,314.77074
0.0,100,316.734535
0.0,100,318.615841
0.0,100,320.599912
0.0,100,322.517396
0.0,100,324.355794
100.0,55,325.342814
100.0,18,325.675752
0.0,100,327.473201
0.0,100,329.305995
0.0,100,331.128344
100.0,24,331.573669
0.0,100,333.364423
0.0,100,335.156862
0.0,100,336.980387
0.0,100,338.823903
100.0,86,340.415865
0.0,100,342.257715
0.0,100,345.826992
100.0,84,347.503101
0.0,100,349.522869
-100.0,37,350.25669
0.0,100,352.232322
0.0,100,354.195753
0.0,100,356.053731
0.0,100,357.946245
0.0,100,359.88266
0.0,100,361.79937
0.0,100,363.61827
0.0,100,365.448001
0.0,100,367.298699
100.0,32,367.873453
