#{"t_start": 1749315996.7066154, "env_id": "None"}
r,l,t
0.0,75,210.511639
0.0,75,212.3266
0.0,75,213.987227
0.0,75,215.567979
0.0,75,217.197801
-100.0,13,438.534417
0.0,75,440.413129
0.0,75,442.257305
0.0,75,443.931557
100.0,2,443.98334
100.0,33,650.590083
100.0,21,651.06161
100.0,24,651.605225
100.0,22,652.164187
100.0,26,652.786751
100.0,16,856.617075
100.0,31,857.352826
100.0,6,857.498134
100.0,15,857.869688
100.0,14,858.198169
100.0,20,1065.514224
100.0,20,1065.986101
100.0,36,1066.850406
100.0,11,1067.125254
100.0,16,1067.520667
100.0,18,1279.260623
100.0,13,1279.523754
100.0,7,1279.685993
0.0,75,1281.440773
100.0,2,1281.496804
100.0,16,1496.722798
100.0,21,1497.13571
100.0,12,1497.373248
100.0,22,1497.813244
100.0,15,1498.120328
100.0,11,1717.580524
100.0,9,1717.778816
100.0,3,1717.864866
100.0,21,1718.402051
100.0,8,1718.602756
100.0,15,1939.838843
100.0,4,1939.927463
100.0,12,1940.170935
100.0,14,1940.453782
100.0,8,1940.620459
100.0,8,2147.84501
100.0,41,2148.58338
100.0,58,2149.782587
100.0,12,2150.056128
100.0,5,2150.158639
742
0.0,75,37.362055
-100.0,54,38.38376
-100.0,13,38.634141
0.0,75,40.032381
-100.0,43,42.997155
-100.0,9,43.202687
100.0,37,43.986917
-100.0,49,44.974013
0.0,75,46.519652
-100.0,4,46.607347
0.0,75,48.078239
-100.0,31,48.691258
0.0,75,50.325188
-100.0,62,51.661405
0.0,75,53.263992
100.0,20,53.696525
100.0,43,54.577441
0.0,75,56.056483
-100.0,6,56.180689
-100.0,66,57.468192
0.0,75,58.952398
100.0,23,59.405255
0.0,75,60.885352
0.0,75,62.358411
-100.0,56,63.476554
-100.0,19,63.893282
0.0,75,65.536916
0.0,75,67.074953
100.0,35,67.755334
-100.0,40,68.527379
100.0,21,68.95928
0.0,75,70.455419
100.0,39,71.286216
0.0,75,72.777431
0.0,75,74.225678
0.0,75,75.707792
-100.0,70,77.162959
-100.0,6,77.291894
