#{"t_start": 1749572939.148941, "env_id": "None"}
r,l,t
100.0,47,677.352317
100.0,42,678.09693
100.0,78,679.574421
0.0,200,683.080337
100.0,129,685.43584
100.0,76,686.785857
0.0,200,690.301057
100.0,197,695.891223
100.0,57,696.936179
100.0,101,698.75574
100.0,37,699.406746
100.0,103,701.490759
0.0,200,705.025451
-100.0,35,705.635038
0.0,200,709.20952
-100.0,2,709.253635
100.0,97,710.993238
100.0,102,712.88453
100.0,126,731.856013
100.0,148,734.437923
100.0,1,734.462847
100.0,103,736.275234
100.0,16,736.565757
100.0,53,737.50569
100.0,117,739.576449
100.0,115,741.586097
100.0,194,745.06266
100.0,60,746.164631
100.0,67,747.384122
100.0,70,750.565039
100.0,72,751.813189
100.0,88,753.346364
100.0,72,754.616417
100.0,190,757.974794
-100.0,11,758.177559
100.0,37,758.867397
100.0,73,760.226119
100.0,58,761.254078
100.0,121,763.512745
-100.0,21,764.011239
100.0,69,765.353788
100.0,61,766.473121
100.0,39,767.191228
100.0,156,769.973544
100.0,111,771.937841
0.0,200,775.422757
100.0,83,776.896026
100.0,98,778.609335
100.0,11,778.810409
100.0,108,780.734266
100.0,29,781.248412
100.0,108,783.180058
100.0,49,784.044956
100.0,124,786.342637
100.0,111,790.321812
100.0,34,790.948894
100.0,78,792.463336
100.0,54,793.420953
0.0,200,797.035471
100.0,31,797.588474
100.0,45,798.399312
100.0,190,801.7763
100.0,103,803.609133
100.0,63,804.690848
100.0,112,806.704751
100.0,37,807.388979
100.0,11,807.594647
100.0,99,809.436904
100.0,26,809.927295
100.0,109,811.915529
100.0,45,812.705123
100.0,38,813.376319
100.0,35,813.984965
100.0,45,814.787711
100.0,32,815.35178
100.0,1,815.378692
100.0,85,816.862518
100.0,81,818.278261
-100.0,13,818.512671
100.0,56,819.484116
100.0,116,821.508891
100.0,101,823.313528
-100.0,30,823.851444
100.0,118,828.21192
100.0,26,828.726153
100.0,12,828.96276
0.0,200,832.730397
100.0,99,834.537157
0.0,200,838.090941
100.0,96,839.828411
-100.0,16,840.148834
-100.0,3,840.213348
100.0,107,842.210909
0.0,200,845.832923
100.0,74,847.278304
100.0,25,847.749808
100.0,62,848.923091
100.0,67,850.158631
100.0,44,850.948885
100.0,42,851.694953
-100.0,11,851.89944
100.0,100,853.696991
100.0,102,855.502578
100.0,199,859.075105
100.0,92,860.75309
100.0,88,862.38725
100.0,147,865.056909
-100.0,2,865.099732
100.0,110,869.194139
100.0,63,870.385386
0.0,200,874.028675
100.0,39,874.739784
100.0,44,875.513673
100.0,153,878.335889
0.0,200,882.469685
100.0,144,885.175028
100.0,101,886.924646
-100.0,46,887.707698
100.0,45,888.438501
100.0,98,890.081644
100.0,47,890.842003
100.0,135,893.355079
100.0,48,894.385922
100.0,132,897.010596
100.0,89,898.784508
100.0,142,901.405825
100.0,55,902.478469
100.0,51,903.462834
100.0,82,904.932115
0.0,200,910.786901
100.0,98,912.821827
100.0,82,914.447243
100.0,139,917.222121
100.0,50,918.309263
100.0,35,919.285635
100.0,37,920.043815
100.0,85,921.61524
100.0,59,922.768975
100.0,89,924.427225
100.0,128,935.522024
100.0,47,936.39013
100.0,159,939.511245
100.0,113,941.677697
100.0,46,942.720073
100.0,45,943.643991
100.0,14,943.941768
0.0,200,948.072014
100.0,79,949.863408
100.0,66,951.168598
100.0,27,951.759633
100.0,55,952.912798
100.0,129,955.552404
100.0,75,956.947277
100.0,100,960.946694
100.0,81,962.442866
100.0,151,965.220885
100.0,68,966.481151
100.0,63,967.600365
100.0,24,968.032695
100.0,39,968.800284
100.0,52,969.728183
100.0,129,972.092523
100.0,30,972.707377
100.0,52,973.683911
100.0,50,974.756306
100.0,46,975.612808
100.0,12,975.833375
100.0,82,978.358309
0.0,200,982.84985
100.0,41,983.72705
100.0,71,985.363835
-100.0,120,987.829855
100.0,118,990.236435
0.0,200,994.097685
-100.0,8,994.248534
0.0,200,998.1756
100.0,70,999.364017
100.0,18,999.697811
100.0,40,1000.413033
100.0,86,1003.921875
100.0,110,1005.763337
100.0,141,1008.11982
100.0,48,1008.916516
100.0,99,1010.623232
100.0,8,1010.758102
100.0,47,1011.527807
100.0,73,1012.710625
0.0,200,1016.115981
100.0,55,1017.033338
100.0,54,1017.999146
100.0,56,1018.924459
100.0,43,1019.640198
100.0,85,1021.165987
100.0,48,1021.945926
100.0,48,1022.739271
100.0,50,1023.589862
100.0,59,1024.561654
100.0,73,1025.769795
100.0,154,1028.584495
100.0,68,1029.696856
100.0,70,1030.855582
100.0,48,1031.631773
100.0,88,1033.111036
100.0,74,1034.366113
