#{"t_start": 1749318155.026276, "env_id": "None"}
r,l,t
0.0,75,161.338136
0.0,75,162.584614
0.0,75,163.898319
0.0,75,165.378093
0.0,75,166.799903
0.0,75,334.887399
100.0,72,336.382293
0.0,75,337.846056
100.0,16,338.153616
100.0,15,338.477175
0.0,75,510.628573
100.0,45,511.569213
-100.0,8,511.725244
100.0,1,511.756249
100.0,10,511.97928
100.0,10,686.888109
0.0,75,688.488439
100.0,60,689.743681
0.0,75,691.31995
100.0,36,691.921079
100.0,13,869.482344
100.0,34,870.164965
100.0,34,870.841094
100.0,13,871.131633
100.0,12,871.395673
100.0,9,1053.393201
-100.0,5,1053.492721
100.0,11,1053.756266
100.0,8,1053.910723
100.0,21,1054.420306
100.0,19,1239.994283
100.0,6,1240.137797
100.0,11,1240.337827
100.0,3,1240.423352
100.0,11,1240.664089
100.0,12,1428.712172
100.0,13,1429.003718
100.0,7,1429.16732
100.0,11,1429.450873
100.0,25,1429.962455
100.0,18,1618.617662
100.0,18,1618.922821
100.0,9,1619.160861
100.0,18,1619.54793
100.0,8,1619.702962
100.0,7,1814.335695
100.0,15,1814.646253
100.0,3,1814.709253
100.0,13,1814.933407
100.0,10,1815.109931
-100.0,45,23.070453
100.0,15,23.290489
-100.0,28,23.71455
-100.0,48,24.455391
0.0,75,25.547604
0.0,75,26.690139
-100.0,3,26.750652
0.0,75,27.867185
-100.0,3,27.917191
100.0,22,28.251254
-100.0,67,29.378931
-100.0,46,30.089909
-100.0,48,30.809528
-100.0,26,31.204598
0.0,75,33.915671
-100.0,13,34.126132
-100.0,29,34.583167
-100.0,21,34.892178
-100.0,19,35.217705
-100.0,19,35.509195
0.0,75,36.631832
-100.0,66,37.698269
0.0,75,38.887507
-100.0,4,38.958027
-100.0,2,39.001026
-100.0,23,39.341093
0.0,75,40.418552
-100.0,7,40.524022
-100.0,66,41.494983
0.0,75,42.715081
0.0,75,43.84719
-100.0,4,43.93536
-100.0,73,45.071828
0.0,75,46.245812
0.0,75,47.369157
-100.0,57,48.193594
-100.0,36,48.714163
0.0,75,49.879346
0.0,75,51.062825
-100.0,48,51.896811
0.0,75,53.041998
-100.0,9,53.176517
-100.0,3,53.224518
100.0,3,53.275025
100.0,74,54.405395
0.0,75,55.553869
0.0,75,56.65809
0.0,75,57.823765
0.0,75,58.933924
0.0,75,60.037581
-100.0,4,60.10158
-100.0,38,60.704683
-100.0,7,60.810197
-100.0,70,61.852854
-100.0,27,62.248855
0.0,75,63.393836
-100.0,43,64.067437
0.0,75,66.797783
-100.0,2,66.834294
-100.0,73,67.917457
0.0,75,69.135749
-100.0,2,69.171749
0.0,75,70.351716
100.0,30,70.811309
0.0,75,71.965081
-100.0,2,72.001081
0.0,75,73.262116
-100.0,47,74.012734
0.0,75,75.16291
0.0,75,76.282526
0.0,75,77.427203
-100.0,1,77.44927
0.0,75,78.53236
0.0,75,79.698704
-100.0,40,80.287782
0.0,75,81.36144
-100.0,10,81.519954
-100.0,29,81.975533
-100.0,64,82.985684
-100.0,59,83.886677
0.0,75,85.051428
100.0,10,85.198941
100.0,70,86.216058
100.0,53,87.00344
0.0,75,88.210313
-100.0,1,88.243824
0.0,75,89.441599
-100.0,2,89.476599
0.0,75,90.580262
0.0,75,91.724507
0.0,75,92.870368
0.0,75,93.98803
0.0,75,95.093422
100.0,73,96.184097
100.0,31,96.677083
0.0,75,99.431053
100.0,38,99.978682
0.0,75,101.17548
0.0,75,102.293035
0.0,75,103.383704
0.0,75,104.582697
0.0,75,105.692245
-100.0,30,106.179768
100.0,12,106.378577
0.0,75,107.528333
0.0,75,108.763624
100.0,30,109.220536
-100.0,32,109.724762
100.0,58,110.604051
0.0,75,111.75981
100.0,25,112.162396
0.0,75,113.34608
0.0,75,114.451404
-100.0,9,114.585918
0.0,75,115.708596
0.0,75,116.857643
100.0,48,117.551243
0.0,75,118.67916
0.0,75,119.834953
0.0,75,120.966647
0.0,75,122.054599
0.0,75,123.183259
0.0,75,124.391365
0.0,75,125.588073
0.0,75,126.730294
0.0,75,127.897459
100.0,44,128.583635
0.0,75,129.707858
0.0,75,132.388539
0.0,75,133.532196
0.0,75,134.777513
0.0,75,135.962246
0.0,75,137.088917
0.0,75,138.303098
100.0,33,138.805666
0.0,75,139.98085
0.0,75,141.111053
0.0,75,142.287404
0.0,75,143.43335
0.0,75,144.60753
0.0,75,145.746183
0.0,75,146.995291
0.0,75,148.141982
0.0,75,149.273003
0.0,75,150.401318
0.0,75,151.510976
0.0,75,152.645491
100.0,1,152.670573
0.0,75,153.76028
0.0,75,154.87895
0.0,75,156.051896
0.0,75,157.24109
100.0,27,157.639678
100.0,67,158.654461
0.0,75,159.832392
0.0,75,167.72355
-100.0,27,168.158614
0.0,75,169.430116
0.0,75,170.597341
0.0,75,173.306228
0.0,75,174.492421
0.0,75,175.640105
100.0,24,176.010171
0.0,75,177.192413
100.0,1,177.214416
0.0,75,178.377621
0.0,75,179.573911
0.0,75,180.744499
100.0,40,181.345519
0.0,75,182.495479
0.0,75,183.680546
0.0,75,184.826374
100.0,58,185.709039
0.0,75,186.863978
100.0,39,187.474796
0.0,75,188.687597
0.0,75,189.892831
100.0,36,190.466934
100.0,43,191.137606
0.0,75,192.416633
0.0,75,193.59763
0.0,75,194.728317
0.0,75,195.914792
0.0,75,197.095682
0.0,75,198.264902
100.0,54,199.074552
100.0,10,199.226073
100.0,47,199.967052
100.0,27,200.373131
-100.0,2,200.410131
0.0,75,201.622336
0.0,75,202.753609
0.0,75,203.930815
100.0,54,206.394315
0.0,75,207.567293
0.0,75,208.734497
100.0,71,209.820629
100.0,17,210.085901
0.0,75,211.275123
100.0,34,211.811553
100.0,42,212.473922
0.0,75,213.643215
100.0,25,214.040287
100.0,54,214.91251
0.0,75,216.073722
0.0,75,217.215682
0.0,75,218.379758
100.0,65,219.412305
0.0,75,220.536503
100.0,29,221.001084
0.0,75,222.194301
100.0,61,223.184115
0.0,75,224.347506
0.0,75,225.486699
0.0,75,226.621946
0.0,75,227.817129
0.0,75,228.991331
0.0,75,230.176528
0.0,75,231.30777
100.0,33,231.921875
0.0,75,233.072573
100.0,51,233.834699
100.0,47,234.599841
-100.0,5,234.681363
0.0,75,235.863965
0.0,75,237.059151
0.0,75,239.767905
0.0,75,240.95867
0.0,75,242.138884
0.0,75,243.313063
0.0,75,244.466748
0.0,75,245.634943
0.0,75,246.744619
0.0,75,247.878823
0.0,75,249.038515
100.0,39,249.662784
0.0,75,250.821712
0.0,75,251.984423
100.0,29,252.438488
0.0,75,253.611673
0.0,75,254.813522
100.0,67,255.880194
100.0,56,256.725346
0.0,75,257.907444
-100.0,1,257.929448
100.0,42,258.560559
0.0,75,259.820143
100.0,74,260.985202
0.0,75,262.141929
100.0,52,262.91784
-100.0,13,263.11388
100.0,37,263.697906
0.0,75,264.875411
100.0,28,265.352978
0.0,75,266.520931
100.0,31,266.990464
0.0,75,268.188491
100.0,71,269.284508
100.0,25,269.702589
100.0,60,270.661148
0.0,75,273.473125
100.0,8,273.597154
100.0,41,274.262631
0.0,75,275.478252
-100.0,32,275.984697
100.0,38,276.56721
100.0,27,276.988284
0.0,75,278.164206
