#{"t_start": 1749310992.4091132, "env_id": "None"}
r,l,t
0.0,75,196.073038
0.0,75,197.705545
0.0,75,199.354145
0.0,75,201.164054
0.0,75,202.805903
0.0,75,429.730666
100.0,17,430.142121
0.0,75,431.983887
100.0,28,432.686957
100.0,22,433.280939
100.0,41,666.086427
100.0,68,667.633812
100.0,5,667.756574
100.0,20,668.220568
0.0,75,669.990606
100.0,54,908.086562
100.0,19,908.56847
0.0,75,910.4174
0.0,75,912.219465
100.0,2,912.275271
100.0,17,1158.406589
100.0,37,1159.420989
100.0,35,1160.312106
100.0,26,1160.94122
100.0,21,1161.440068
100.0,13,1416.701286
100.0,22,1417.219585
100.0,15,1417.58693
100.0,11,1417.851918
100.0,16,1418.237424
100.0,10,1678.164806
100.0,37,1679.209692
100.0,11,1679.526761
100.0,12,1679.836197
100.0,26,1680.514035
100.0,10,1944.468246
100.0,75,1946.362049
100.0,14,1946.743727
100.0,16,1947.18597
100.0,22,1947.788527
100.0,34,2216.490308
100.0,7,2216.687727
100.0,20,2217.219351
100.0,29,2218.014496
100.0,7,2218.219592
100.0,17,2497.417217
100.0,15,2497.802764
100.0,21,2498.295242
100.0,18,2498.717924
100.0,30,2499.524141

-100.0,69,34.792876
-100.0,32,35.305056
0.0,75,38.264175
-100.0,60,39.26676
-100.0,38,39.866704
-100.0,6,39.971344
0.0,75,41.387283
0.0,75,42.884197
-100.0,30,43.472127
0.0,75,44.990121
0.0,75,46.278017
0.0,75,47.474136
0.0,75,48.740507
-100.0,32,49.265137
-100.0,19,49.582012
-100.0,4,49.654075
0.0,75,50.896635
0.0,75,52.181415
0.0,75,53.512712
0.0,75,54.747883
0.0,75,56.030734
0.0,75,57.288191
0.0,75,58.507911
-100.0,45,59.225542
100.0,9,59.379786
0.0,75,60.589305
0.0,75,61.797427
-100.0,9,61.943954
-100.0,62,62.955973
-100.0,18,63.252457
-100.0,16,63.51407
0.0,75,64.742094
0.0,75,65.96113
0.0,75,67.176861
-100.0,9,67.330417
-100.0,65,68.602463
0.0,75,69.860146
-100.0,46,70.669129
-100.0,24,71.080426
-100.0,62,72.497429
0.0,75,77.878261
0.0,75,79.226425
-100.0,8,79.373954
-100.0,3,79.4339
-100.0,44,80.192706
-100.0,20,80.540582
-100.0,1,80.563611
0.0,75,81.792869
0.0,75,82.981853
0.0,75,84.35795
0.0,75,85.579259
-100.0,3,85.632827
0.0,75,86.821274
0.0,75,88.013532
-100.0,44,88.758692
0.0,75,90.031009
0.0,75,91.282794
0.0,75,92.556642
-100.0,25,92.998791
0.0,75,94.279787
0.0,75,95.574042
100.0,44,96.30359
0.0,75,97.785526
0.0,75,99.339931
0.0,75,100.793998
0.0,75,102.190686
0.0,75,103.687502
0.0,75,105.143379
0.0,75,106.541828
-100.0,7,106.681988
0.0,75,108.069699
0.0,75,109.433915
0.0,75,110.981414
0.0,75,112.432507
0.0,75,113.819011
0.0,75,117.210014
0.0,75,118.62035
0.0,75,120.064961
-100.0,14,120.337093
0.0,75,121.74465
0.0,75,123.161782
100.0,5,123.261823
0.0,75,124.676927
0.0,75,126.106237
100.0,72,127.459514
-100.0,2,127.507619
0.0,75,128.927421
-100.0,7,129.072962
0.0,75,130.485545
0.0,75,131.927998
-100.0,70,133.29694
0.0,75,134.850402
0.0,75,136.361865
0.0,75,137.78384
-100.0,3,137.849448
-100.0,65,139.094331
0.0,75,140.533786
100.0,58,141.669421
0.0,75,143.086903
0.0,75,144.503783
0.0,75,145.938649
100.0,25,146.422646
-100.0,19,146.786455
0.0,75,148.259672
0.0,75,149.684069
0.0,75,151.106604
0.0,75,152.524544
0.0,75,153.907952
100.0,7,154.04287
-100.0,4,154.12606
0.0,75,155.565907
0.0,75,159.168586
-100.0,17,159.50374
0.0,75,161.024806
100.0,52,162.160964
0.0,75,163.670701
100.0,1,163.702365
0.0,75,165.268535
0.0,75,166.789737
-100.0,54,167.860522
0.0,75,169.382334
100.0,45,170.350374
0.0,75,171.949465
0.0,75,173.561345
0.0,75,175.115993
0.0,75,176.683886
0.0,75,178.192895
0.0,75,179.694615
0.0,75,181.195257
0.0,75,182.739008
0.0,75,184.355233
0.0,75,185.872918
0.0,75,187.308335
0.0,75,188.752145
0.0,75,190.170773
0.0,75,191.645216
0.0,75,193.160111
0.0,75,203.050453
0.0,75,204.666161
0.0,75,206.215885
0.0,75,207.72673
100.0,48,211.020062
0.0,75,212.533805
0.0,75,214.072191
-100.0,32,214.772001
0.0,75,216.362789
0.0,75,218.004838
0.0,75,219.642097
0.0,75,221.278692
0.0,75,222.958496
0.0,75,224.704558
0.0,75,226.386172
0.0,75,227.97981
100.0,1,228.012882
100.0,38,228.846839
0.0,75,230.404983
0.0,75,231.897259
0.0,75,233.354363
-100.0,72,234.744713
100.0,54,235.794886
0.0,75,237.277939
0.0,75,238.752481
0.0,75,240.241439
0.0,75,241.697933
-100.0,5,241.807678
0.0,75,243.302411
0.0,75,244.7865
0.0,75,246.319645
0.0,75,247.931458
0.0,75,249.592068
0.0,75,251.263354
0.0,75,252.94744
0.0,75,256.936673
0.0,75,258.49772
0.0,75,260.133734
0.0,75,261.792716
0.0,75,263.488608
0.0,75,265.18967
0.0,75,266.874787
0.0,75,268.552544
-100.0,36,269.379248
100.0,39,270.275177
0.0,75,271.871861
100.0,48,272.930037
0.0,75,274.488043
0.0,75,276.035862
0.0,75,277.581881
0.0,75,279.115226
0.0,75,280.634526
0.0,75,282.266103
100.0,59,283.493903
0.0,75,285.035019
0.0,75,286.58066
0.0,75,288.065921
0.0,75,289.572729
0.0,75,291.090597
0.0,75,292.703549
0.0,75,294.339269
0.0,75,295.989298
0.0,75,297.60659
100.0,15,297.953194
0.0,75,301.897099
100.0,38,302.747797
0.0,75,304.398931
0.0,75,306.104528
100.0,57,307.426911
0.0,75,309.137356
0.0,75,310.854209
100.0,27,311.465445
0.0,75,313.167351
