#{"t_start": 1748952437.2927763, "env_id": "None"}
r,l,t,mean_dt,std_dt
0.0,2000,182.686374,0.05000000819563866,7.450580596923828e-09
0.0,1917,206.91593,0.05218161270022392,0.007185999304056168
0.0,2000,231.981451,0.05000064894556999,2.1701578589272685e-05
0.0,2000,256.942942,0.05000000819563866,7.450580596923828e-09
0.0,1944,281.330156,0.05146470665931702,0.004369646310806274
0.0,1868,453.156304,0.05355363339185715,0.011819785460829735
0.0,1010,465.746716,0.09912306070327759,0.018963007256388664
0.0,1988,490.376299,0.05030106008052826,0.002578949322924018
100.0,831,500.651077,0.06185738742351532,0.015048879198729992
0.0,1535,519.947323,0.06516526639461517,0.01772807538509369
0.0,1692,689.82217,0.05911315605044365,0.01778547279536724
0.0,1964,713.421085,0.050924357026815414,0.0032238420099020004
0.0,1959,736.911964,0.051062583923339844,0.006766296457499266
0.0,1976,760.672752,0.050611961632966995,0.004430918022990227
0.0,1652,780.694065,0.06054046377539635,0.019305860623717308
0.0,839,929.487403,0.11928293108940125,0.034456752240657806
0.0,658,937.6376,0.15202373266220093,0.03658752888441086
0.0,796,947.325143,0.12574398517608643,0.04979420453310013
0.0,713,956.10526,0.14040975272655487,0.018232421949505806
0.0,1084,969.1525,0.09225688874721527,0.018144357949495316
0.0,1585,1129.094278,0.06316166371107101,0.0322054922580719
0.0,973,1141.537288,0.10282228887081146,0.02506469003856182
0.0,1901,1165.395938,0.05261651799082756,0.00802037212997675
0.0,881,1176.102712,0.11359298974275589,0.027820006012916565
0.0,628,1183.731722,0.1594267636537552,0.040922001004219055
0.0,545,1329.517974,0.18373709917068481,0.01679023541510105
0.0,631,1337.215151,0.15847888588905334,0.046150222420692444
0.0,1754,1358.619014,0.057040415704250336,0.0239315964281559
0.0,978,1370.791698,0.102300263941288,0.014485856518149376
0.0,401,1375.682964,0.24977001547813416,0.046441346406936646
0.0,1793,1533.217867,0.055781520903110504,0.011083157733082771
0.0,1199,1547.505255,0.08343622833490372,0.08145127445459366
0.0,534,1553.882572,0.18757370114326477,0.012889073230326176
0.0,840,1563.901597,0.11908770352602005,0.09083794057369232
0.0,515,1570.066802,0.1942477524280548,0.03387698158621788
0.0,830,1715.33205,0.12052082270383835,0.03414271026849747
0.0,762,1724.656244,0.13135984539985657,0.036923617124557495
0.0,689,1732.892598,0.1453319936990738,0.06001788750290871
0.0,353,1737.175619,0.28341051936149597,0.09395825862884521
0.0,414,1742.334012,0.24171924591064453,0.029929332435131073
0.0,299,1888.456681,0.3348541259765625,0.02636943757534027
0.0,1191,1902.955771,0.0841875821352005,0.08382901549339294
0.0,481,1908.735246,0.20796847343444824,0.07941042631864548
0.0,1611,1927.939526,0.062110014259815216,0.052701130509376526
0.0,752,1937.042344,0.13310933113098145,0.050367049872875214
100.0,324,2083.875346,0.18361565470695496,0.09081019461154938
0.0,931,2095.358613,0.10743802040815353,0.037382904440164566
0.0,940,2106.674027,0.10638310760259628,0.08395799249410629
0.0,1113,2119.983984,0.08986309915781021,0.0914379134774208
0.0,1262,2134.993851,0.07956716418266296,0.08805429190397263
0.0,329,2281.698929,0.30428144335746765,0.1254737377166748
100.0,206,2284.224627,0.24240122735500336,0.13930344581604004
0.0,1380,2300.912604,0.07248703390359879,0.07700687646865845
100.0,261,2304.02715,0.15123100578784943,0.08950049430131912
0.0,1098,2317.170783,0.09109830856323242,0.09515831619501114
100.0,384,2463.899713,0.17645521461963654,0.15068016946315765
100.0,291,2467.490652,0.3275757431983948,0.1832219362258911
100.0,60,2468.238794,0.352975070476532,0.17338475584983826
0.0,206,2470.791424,0.4857550263404846,0.13159246742725372
0.0,737,2479.723583,0.135843425989151,0.13685239851474762
100.0,142,2624.049017,0.3095090091228485,0.1909409910440445
0.0,717,2632.838897,0.13960690796375275,0.16308891773223877
0.0,627,2640.691408,0.15967677533626556,0.18839359283447266
100.0,116,2642.299695,0.3828769624233246,0.1679522693157196
100.0,122,2643.863704,0.3394117057323456,0.2140807807445526
0.0,217,2810.370363,0.46303054690361023,0.13330283761024475
0.0,1363,2829.502167,0.07338675111532211,0.08707597106695175
100.0,35,2829.975079,0.21587809920310974,0.12299109250307083
100.0,6,2830.061353,0.5523911714553833,0.29134291410446167
0.0,1294,2847.281985,0.07730995118618011,0.10126974433660507
0.0,1124,3020.716902,0.08911730349063873,0.11701615899801254
0.0,367,3025.591745,0.27276670932769775,0.13147322833538055
100.0,1,3025.613365,0.9176240563392639,0.0
100.0,20,3025.879953,0.30679625272750854,0.19435341656208038
0.0,1159,3041.403009,0.08631682395935059,0.07903463393449783
100.0,630,3201.825892,0.11900129914283752,0.12877850234508514
100.0,202,3204.365591,0.2865754961967468,0.2056502252817154
100.0,18,3204.595163,0.45746326446533203,0.2706395983695984
100.0,224,3207.36453,0.2469267100095749,0.2516367435455322
100.0,52,3208.002191,0.28638678789138794,0.28195643424987793
0.0,989,3369.444456,0.1011202484369278,0.13062986731529236
0.0,1713,3390.069155,0.058390550315380096,0.04926004633307457
100.0,482,3395.875962,0.11726926267147064,0.17435027658939362
100.0,41,3396.373529,0.34125447273254395,0.2997022569179535
100.0,84,3397.392285,0.37583282589912415,0.31643226742744446
